start,end,token,position,line,text
0.718,12.696,宝鐘マリン-unison,-1,0,<1></c><3>宝鐘マリン-unison</c><1></c>
0.718,2.219,作詞・作曲:yunomi,-1,-1,<1></c><3>作詞・作曲:yunomi</c><1></c>
2.219,3.721,【作画】てあせよは,-1,-1,<1></c><3>【作画】</c><1></c><3>てあせよは</c><1></c>
3.721,5.222,【作画】ほうじ茶take,-1,-1,<1></c><3>【作画】</c><1></c><3>ほうじ茶take</c><1></c>
5.222,6.724,【作画】こうの伊礼えり,-1,-1,<1></c><3>【作画】</c><1></c><3>こうの伊礼えり</c><1></c>
6.724,8.225,背景協力:葭原壮平,-1,-1,<1></c><3>背景協力:葭原壮平</c><1></c>
8.225,9.727,映像編集:鬼灯わらべ,-1,-1,<1></c><3>映像編集:鬼灯わらべ</c><1></c>
9.727,11.195,コンテと色弄り:てあせ,-1,-1,<1></c><3>コンテと色弄り:てあせ</c><1></c>
11.195,12.696,歌:宝鐘マリン,-1,-1,<1></c><3>歌:宝鐘マリン</c><1></c>
12.696,13.263,か,-1,0,<1></c><3>か</c><2>たすぎたのかな、びんが</c><1></c>
12.696,13.664,硬,-1,-1,<1></c><3>硬</c><2>すぎたのかな、ビンが</c><1></c>
13.263,13.664,た,-1,0,<1></c><3>かた</c><2>すぎたのかな、びんが</c><1></c>
13.664,13.831,す,-1,0,<1></c><3>かたす</c><2>ぎたのかな、びんが</c><1></c>
13.664,13.831,す,-1,-1,<1></c><3>硬す</c><2>ぎたのかな、ビンが</c><1></c>
13.831,14.398,ぎ,-1,0,<1></c><3>かたすぎ</c><2>たのかな、びんが</c><1></c>
13.831,14.398,ぎ,-1,-1,<1></c><3>硬すぎ</c><2>たのかな、ビンが</c><1></c>
14.398,14.765,た,-1,0,<1></c><3>かたすぎた</c><2>のかな、びんが</c><1></c>
14.398,14.765,た,-1,-1,<1></c><3>硬すぎた</c><2>のかな、ビンが</c><1></c>
14.765,14.965,の,-1,0,<1></c><3>かたすぎたの</c><2>かな、びんが</c><1></c>
14.765,14.965,の,-1,-1,<1></c><3>硬すぎたの</c><2>かな、ビンが</c><1></c>
14.965,15.332,か,-1,0,<1></c><3>かたすぎたのか</c><2>な、びんが</c><1></c>
14.965,15.332,か,-1,-1,<1></c><3>硬すぎたのか</c><2>な、ビンが</c><1></c>
15.332,15.532,な、,-1,0,<1></c><3>かたすぎたのかな、</c><2>びんが</c><1></c>
15.332,15.532,な、,-1,-1,<1></c><3>硬すぎたのかな、</c><2>ビンが</c><1></c>
15.532,15.699,び,-1,0,<1></c><3>かたすぎたのかな、び</c><2>んが</c><1></c>
15.532,15.699,ビ,-1,-1,<1></c><3>硬すぎたのかな、ビ</c><2>ンが</c><1></c>
15.699,15.899,ん,-1,0,<1></c><3>かたすぎたのかな、びん</c><2>が</c><1></c>
15.699,15.899,ン,-1,-1,<1></c><3>硬すぎたのかな、ビン</c><2>が</c><1></c>
15.899,16.066,が,-1,0,<1></c><3>かたすぎたのかな、びんが</c><1></c>
15.899,16.066,が,-1,-1,<1></c><3>硬すぎたのかな、ビンが</c><1></c>
16.066,16.266,あ,-1,0,<1></c><3>あ</c><2>るいはせんしゅだけやわいか</c><1></c>
16.066,16.266,あ,-1,-1,<1></c><3>あ</c><2>るいは船首だけ柔いか</c><1></c>
16.266,16.467,る,-1,0,<1></c><3>ある</c><2>いはせんしゅだけやわいか</c><1></c>
16.266,16.467,る,-1,-1,<1></c><3>ある</c><2>いは船首だけ柔いか</c><1></c>
16.467,16.834,い,-1,0,<1></c><3>あるい</c><2>はせんしゅだけやわいか</c><1></c>
16.467,16.834,い,-1,-1,<1></c><3>あるい</c><2>は船首だけ柔いか</c><1></c>
16.834,17.401,は,-1,0,<1></c><3>あるいは</c><2>せんしゅだけやわいか</c><1></c>
16.834,17.401,は,-1,-1,<1></c><3>あるいは</c><2>船首だけ柔いか</c><1></c>
17.401,17.568,せ,-1,0,<1></c><3>あるいはせ</c><2>んしゅだけやわいか</c><1></c>
17.401,17.768,船,-1,-1,<1></c><3>あるいは船</c><2>首だけ柔いか</c><1></c>
17.568,17.768,ん,-1,0,<1></c><3>あるいはせん</c><2>しゅだけやわいか</c><1></c>
17.768,17.935,しゅ,-1,0,<1></c><3>あるいはせんしゅ</c><2>だけやわいか</c><1></c>
17.768,17.935,首,-1,-1,<1></c><3>あるいは船首</c><2>だけ柔いか</c><1></c>
17.935,18.335,だ,-1,0,<1></c><3>あるいはせんしゅだ</c><2>けやわいか</c><1></c>
17.935,18.335,だ,-1,-1,<1></c><3>あるいは船首だ</c><2>け柔いか</c><1></c>
18.335,18.502,け,-1,0,<1></c><3>あるいはせんしゅだけ</c><2>やわいか</c><1></c>
18.335,18.502,け,-1,-1,<1></c><3>あるいは船首だけ</c><2>柔いか</c><1></c>
18.502,18.902,や,-1,0,<1></c><3>あるいはせんしゅだけや</c><2>わいか</c><1></c>
18.502,19.069,柔,-1,-1,<1></c><3>あるいは船首だけ柔</c><2>いか</c><1></c>
18.902,19.069,わ,-1,0,<1></c><3>あるいはせんしゅだけやわ</c><2>いか</c><1></c>
19.069,19.436,い,-1,0,<1></c><3>あるいはせんしゅだけやわい</c><2>か</c><1></c>
19.069,19.436,い,-1,-1,<1></c><3>あるいは船首だけ柔い</c><2>か</c><1></c>
19.436,19.837,か,-1,0,<1></c><3>あるいはせんしゅだけやわいか</c><1></c>
19.436,19.837,か,-1,-1,<1></c><3>あるいは船首だけ柔いか</c><1></c>
19.837,20.037,え,58,0,<1></c><3>え</c><2>んめいしたあかわいんはえんえん、なみのうえ</c><1></c>
19.837,20.404,延,-1,-1,<1></c><3>延</c><2>命した赤ワインは延々、波の上</c><1></c>
20.037,20.404,ん,58,0,<1></c><3>えん</c><2>めいしたあかわいんはえんえん、なみのうえ</c><1></c>
20.404,20.604,め,58,0,<1></c><3>えんめ</c><2>いしたあかわいんはえんえん、なみのうえ</c><1></c>
20.404,20.771,命,-1,-1,<1></c><3>延命</c><2>した赤ワインは延々、波の上</c><1></c>
20.604,20.771,い,58,0,<1></c><3>えんめい</c><2>したあかわいんはえんえん、なみのうえ</c><1></c>
20.771,20.971,し,58,0,<1></c><3>えんめいし</c><2>たあかわいんはえんえん、なみのうえ</c><1></c>
20.771,20.971,し,-1,-1,<1></c><3>延命し</c><2>た赤ワインは延々、波の上</c><1></c>
20.971,21.138,た,58,0,<1></c><3>えんめいした</c><2>あかわいんはえんえん、なみのうえ</c><1></c>
20.971,21.138,た,-1,-1,<1></c><3>延命した</c><2>赤ワインは延々、波の上</c><1></c>
21.138,21.505,あ,58,0,<1></c><3>えんめいしたあ</c><2>かわいんはえんえん、なみのうえ</c><1></c>
21.138,21.905,赤,-1,-1,<1></c><3>延命した赤</c><2>ワインは延々、波の上</c><1></c>
21.505,21.905,か,58,0,<1></c><3>えんめいしたあか</c><2>わいんはえんえん、なみのうえ</c><1></c>
21.905,22.072,わ,58,0,<1></c><3>えんめいしたあかわ</c><2>いんはえんえん、なみのうえ</c><1></c>
21.905,22.072,ワ,-1,-1,<1></c><3>延命した赤ワ</c><2>インは延々、波の上</c><1></c>
22.072,22.272,い,58,0,<1></c><3>えんめいしたあかわい</c><2>んはえんえん、なみのうえ</c><1></c>
22.072,22.272,イ,-1,-1,<1></c><3>延命した赤ワイ</c><2>ンは延々、波の上</c><1></c>
22.272,22.473,ん,58,0,<1></c><3>えんめいしたあかわいん</c><2>はえんえん、なみのうえ</c><1></c>
22.272,22.473,ン,-1,-1,<1></c><3>延命した赤ワイン</c><2>は延々、波の上</c><1></c>
22.473,22.84,は,58,0,<1></c><3>えんめいしたあかわいんは</c><2>えんえん、なみのうえ</c><1></c>
22.473,22.84,は,-1,-1,<1></c><3>延命した赤ワインは</c><2>延々、波の上</c><1></c>
22.84,23.04,え,58,0,<1></c><3>えんめいしたあかわいんはえ</c><2>んえん、なみのうえ</c><1></c>
22.84,23.407,延,-1,-1,<1></c><3>延命した赤ワインは延</c><2>々、波の上</c><1></c>
23.04,23.407,ん,58,0,<1></c><3>えんめいしたあかわいんはえん</c><2>えん、なみのうえ</c><1></c>
23.407,23.574,え,58,0,<1></c><3>えんめいしたあかわいんはえんえ</c><2>ん、なみのうえ</c><1></c>
23.407,23.774,々、,-1,-1,<1></c><3>延命した赤ワインは延々、</c><2>波の上</c><1></c>
23.574,23.774,ん、,58,0,<1></c><3>えんめいしたあかわいんはえんえん、</c><2>なみのうえ</c><1></c>
23.774,23.974,な,58,0,<1></c><3>えんめいしたあかわいんはえんえん、な</c><2>みのうえ</c><1></c>
23.774,24.341,波,-1,-1,<1></c><3>延命した赤ワインは延々、波</c><2>の上</c><1></c>
23.974,24.341,み,58,0,<1></c><3>えんめいしたあかわいんはえんえん、なみ</c><2>のうえ</c><1></c>
24.341,24.508,の,58,0,<1></c><3>えんめいしたあかわいんはえんえん、なみの</c><2>うえ</c><1></c>
24.341,24.508,の,-1,-1,<1></c><3>延命した赤ワインは延々、波の</c><2>上</c><1></c>
24.508,24.575,う,58,0,<1></c><3>えんめいしたあかわいんはえんえん、なみのう</c><2>え</c><1></c>
24.508,24.908,上,-1,-1,<1></c><3>延命した赤ワインは延々、波の上</c><1></c>
24.575,24.908,え,58,0,<1></c><3>えんめいしたあかわいんはえんえん、なみのうえ</c><1></c>
24.908,25.109,ひ,-1,0,<1></c><3>ひ</c><2>ろい、のむのはちゅうどくかんじゃ</c><1></c>
24.908,25.342,拾,-1,-1,<1></c><3>拾</c><2>い、飲むのは中毒患者</c><1></c>
25.109,25.342,ろ,-1,0,<1></c><3>ひろ</c><2>い、のむのはちゅうどくかんじゃ</c><1></c>
25.342,25.476,い、,-1,0,<1></c><3>ひろい、</c><2>のむのはちゅうどくかんじゃ</c><1></c>
25.342,25.476,い、,-1,-1,<1></c><3>拾い、</c><2>飲むのは中毒患者</c><1></c>
25.476,25.709,の,-1,0,<1></c><3>ひろい、の</c><2>むのはちゅうどくかんじゃ</c><1></c>
25.476,25.709,飲,-1,-1,<1></c><3>拾い、飲</c><2>むのは中毒患者</c><1></c>
25.709,25.843,む,-1,0,<1></c><3>ひろい、のむ</c><2>のはちゅうどくかんじゃ</c><1></c>
25.709,25.843,む,-1,-1,<1></c><3>拾い、飲む</c><2>のは中毒患者</c><1></c>
25.843,26.043,の,-1,0,<1></c><3>ひろい、のむの</c><2>はちゅうどくかんじゃ</c><1></c>
25.843,26.043,の,-1,-1,<1></c><3>拾い、飲むの</c><2>は中毒患者</c><1></c>
26.043,26.21,は,-1,0,<1></c><3>ひろい、のむのは</c><2>ちゅうどくかんじゃ</c><1></c>
26.043,26.21,は,-1,-1,<1></c><3>拾い、飲むのは</c><2>中毒患者</c><1></c>
26.21,26.477,ちゅ,-1,0,<1></c><3>ひろい、のむのはちゅ</c><2>うどくかんじゃ</c><1></c>
26.21,26.577,中,-1,-1,<1></c><3>拾い、飲むのは中</c><2>毒患者</c><1></c>
26.477,26.577,う,-1,0,<1></c><3>ひろい、のむのはちゅう</c><2>どくかんじゃ</c><1></c>
26.577,26.844,ど,-1,0,<1></c><3>ひろい、のむのはちゅうど</c><2>くかんじゃ</c><1></c>
26.577,26.977,毒,-1,-1,<1></c><3>拾い、飲むのは中毒</c><2>患者</c><1></c>
26.844,26.977,く,-1,0,<1></c><3>ひろい、のむのはちゅうどく</c><2>かんじゃ</c><1></c>
26.977,27.244,か,-1,0,<1></c><3>ひろい、のむのはちゅうどくか</c><2>んじゃ</c><1></c>
26.977,27.344,患,-1,-1,<1></c><3>拾い、飲むのは中毒患</c><2>者</c><1></c>
27.244,27.344,ん,-1,0,<1></c><3>ひろい、のむのはちゅうどくかん</c><2>じゃ</c><1></c>
27.344,27.611,じゃ,-1,0,<1></c><3>ひろい、のむのはちゅうどくかんじゃ</c><1></c>
27.344,27.611,者,-1,-1,<1></c><3>拾い、飲むのは中毒患者</c><1></c>
27.611,27.711,ひ,-1,0,<1></c><3>ひ</c><2>ろいそらなのにきみょうなよかんだ</c><1></c>
27.611,27.911,広,-1,-1,<1></c><3>広</c><2>い空なのに奇妙な予感だ</c><1></c>
27.711,27.911,ろ,-1,0,<1></c><3>ひろ</c><2>いそらなのにきみょうなよかんだ</c><1></c>
27.911,28.078,い,-1,0,<1></c><3>ひろい</c><2>そらなのにきみょうなよかんだ</c><1></c>
27.911,28.078,い,-1,-1,<1></c><3>広い</c><2>空なのに奇妙な予感だ</c><1></c>
28.078,28.278,そ,-1,0,<1></c><3>ひろいそ</c><2>らなのにきみょうなよかんだ</c><1></c>
28.078,28.479,空,-1,-1,<1></c><3>広い空</c><2>なのに奇妙な予感だ</c><1></c>
28.278,28.479,ら,-1,0,<1></c><3>ひろいそら</c><2>なのにきみょうなよかんだ</c><1></c>
28.479,28.712,な,-1,0,<1></c><3>ひろいそらな</c><2>のにきみょうなよかんだ</c><1></c>
28.479,28.712,な,-1,-1,<1></c><3>広い空な</c><2>のに奇妙な予感だ</c><1></c>
28.712,28.846,の,-1,0,<1></c><3>ひろいそらなの</c><2>にきみょうなよかんだ</c><1></c>
28.712,28.846,の,-1,-1,<1></c><3>広い空なの</c><2>に奇妙な予感だ</c><1></c>
28.846,29.113,に,-1,0,<1></c><3>ひろいそらなのに</c><2>きみょうなよかんだ</c><1></c>
28.846,29.113,に,-1,-1,<1></c><3>広い空なのに</c><2>奇妙な予感だ</c><1></c>
29.113,29.213,き,-1,0,<1></c><3>ひろいそらなのにき</c><2>みょうなよかんだ</c><1></c>
29.113,29.213,奇,-1,-1,<1></c><3>広い空なのに奇</c><2>妙な予感だ</c><1></c>
29.213,29.513,みょ,-1,0,<1></c><3>ひろいそらなのにきみょ</c><2>うなよかんだ</c><1></c>
29.213,29.613,妙,-1,-1,<1></c><3>広い空なのに奇妙</c><2>な予感だ</c><1></c>
29.513,29.613,う,-1,0,<1></c><3>ひろいそらなのにきみょう</c><2>なよかんだ</c><1></c>
29.613,29.88,な,-1,0,<1></c><3>ひろいそらなのにきみょうな</c><2>よかんだ</c><1></c>
29.613,29.88,な,-1,-1,<1></c><3>広い空なのに奇妙な</c><2>予感だ</c><1></c>
29.88,29.98,よ,-1,0,<1></c><3>ひろいそらなのにきみょうなよ</c><2>かんだ</c><1></c>
29.88,29.98,予,-1,-1,<1></c><3>広い空なのに奇妙な予</c><2>感だ</c><1></c>
29.98,30.28,か,-1,0,<1></c><3>ひろいそらなのにきみょうなよか</c><2>んだ</c><1></c>
29.98,30.347,感,-1,-1,<1></c><3>広い空なのに奇妙な予感</c><2>だ</c><1></c>
30.28,30.347,ん,-1,0,<1></c><3>ひろいそらなのにきみょうなよかん</c><2>だ</c><1></c>
30.347,30.547,だ,-1,0,<1></c><3>ひろいそらなのにきみょうなよかんだ</c><1></c>
30.347,30.547,だ,-1,-1,<1></c><3>広い空なのに奇妙な予感だ</c><1></c>
30.547,30.714,あ、,69,0,<1></c><3>あ、</c><2>そうかかんたんだ、せんちょうをきめてなかったんだ</c><1></c>
30.547,30.714,あ、,-1,-1,<1></c><3>あ、</c><2>そうか簡単だ、船長を決めてなかったんだ</c><1></c>
30.714,30.914,そ,69,0,<1></c><3>あ、そ</c><2>うかかんたんだ、せんちょうをきめてなかったんだ</c><1></c>
30.714,30.914,そ,-1,-1,<1></c><3>あ、そ</c><2>うか簡単だ、船長を決めてなかったんだ</c><1></c>
30.914,31.115,う,69,0,<1></c><3>あ、そう</c><2>かかんたんだ、せんちょうをきめてなかったんだ</c><1></c>
30.914,31.115,う,-1,-1,<1></c><3>あ、そう</c><2>か簡単だ、船長を決めてなかったんだ</c><1></c>
31.115,31.482,か,69,0,<1></c><3>あ、そうか</c><2>かんたんだ、せんちょうをきめてなかったんだ</c><1></c>
31.115,31.482,か,-1,-1,<1></c><3>あ、そうか</c><2>簡単だ、船長を決めてなかったんだ</c><1></c>
31.482,31.682,か,69,0,<1></c><3>あ、そうかか</c><2>んたんだ、せんちょうをきめてなかったんだ</c><1></c>
31.482,31.849,簡,-1,-1,<1></c><3>あ、そうか簡</c><2>単だ、船長を決めてなかったんだ</c><1></c>
31.682,31.849,ん,69,0,<1></c><3>あ、そうかかん</c><2>たんだ、せんちょうをきめてなかったんだ</c><1></c>
31.849,32.049,た,69,0,<1></c><3>あ、そうかかんた</c><2>んだ、せんちょうをきめてなかったんだ</c><1></c>
31.849,32.249,単,-1,-1,<1></c><3>あ、そうか簡単</c><2>だ、船長を決めてなかったんだ</c><1></c>
32.049,32.249,ん,69,0,<1></c><3>あ、そうかかんたん</c><2>だ、せんちょうをきめてなかったんだ</c><1></c>
32.249,32.616,だ、,69,0,<1></c><3>あ、そうかかんたんだ、</c><2>せんちょうをきめてなかったんだ</c><1></c>
32.249,32.616,だ、,-1,-1,<1></c><3>あ、そうか簡単だ、</c><2>船長を決めてなかったんだ</c><1></c>
32.616,32.883,せ,69,0,<1></c><3>あ、そうかかんたんだ、せ</c><2>んちょうをきめてなかったんだ</c><1></c>
32.616,32.983,船,-1,-1,<1></c><3>あ、そうか簡単だ、船</c><2>長を決めてなかったんだ</c><1></c>
32.883,32.983,ん,69,0,<1></c><3>あ、そうかかんたんだ、せん</c><2>ちょうをきめてなかったんだ</c><1></c>
32.983,33.25,ちょ,69,0,<1></c><3>あ、そうかかんたんだ、せんちょ</c><2>うをきめてなかったんだ</c><1></c>
32.983,33.35,長,-1,-1,<1></c><3>あ、そうか簡単だ、船長</c><2>を決めてなかったんだ</c><1></c>
33.25,33.35,う,69,0,<1></c><3>あ、そうかかんたんだ、せんちょう</c><2>をきめてなかったんだ</c><1></c>
33.35,33.617,を,69,0,<1></c><3>あ、そうかかんたんだ、せんちょうを</c><2>きめてなかったんだ</c><1></c>
33.35,33.617,を,-1,-1,<1></c><3>あ、そうか簡単だ、船長を</c><2>決めてなかったんだ</c><1></c>
33.617,33.717,き,69,0,<1></c><3>あ、そうかかんたんだ、せんちょうをき</c><2>めてなかったんだ</c><1></c>
33.617,33.717,決,-1,-1,<1></c><3>あ、そうか簡単だ、船長を決</c><2>めてなかったんだ</c><1></c>
33.717,34.084,め,69,0,<1></c><3>あ、そうかかんたんだ、せんちょうをきめ</c><2>てなかったんだ</c><1></c>
33.717,34.084,め,-1,-1,<1></c><3>あ、そうか簡単だ、船長を決め</c><2>てなかったんだ</c><1></c>
34.084,34.351,て,69,0,<1></c><3>あ、そうかかんたんだ、せんちょうをきめて</c><2>なかったんだ</c><1></c>
34.084,34.351,て,-1,-1,<1></c><3>あ、そうか簡単だ、船長を決めて</c><2>なかったんだ</c><1></c>
34.351,34.485,な,69,0,<1></c><3>あ、そうかかんたんだ、せんちょうをきめてな</c><2>かったんだ</c><1></c>
34.351,34.485,な,-1,-1,<1></c><3>あ、そうか簡単だ、船長を決めてな</c><2>かったんだ</c><1></c>
34.485,34.651,か,69,0,<1></c><3>あ、そうかかんたんだ、せんちょうをきめてなか</c><2>ったんだ</c><1></c>
34.485,34.651,か,-1,-1,<1></c><3>あ、そうか簡単だ、船長を決めてなか</c><2>ったんだ</c><1></c>
34.651,34.852,っ,69,0,<1></c><3>あ、そうかかんたんだ、せんちょうをきめてなかっ</c><2>たんだ</c><1></c>
34.651,34.852,っ,-1,-1,<1></c><3>あ、そうか簡単だ、船長を決めてなかっ</c><2>たんだ</c><1></c>
34.852,35.052,た,69,0,<1></c><3>あ、そうかかんたんだ、せんちょうをきめてなかった</c><2>んだ</c><1></c>
34.852,35.052,た,-1,-1,<1></c><3>あ、そうか簡単だ、船長を決めてなかった</c><2>んだ</c><1></c>
35.052,35.219,ん,69,0,<1></c><3>あ、そうかかんたんだ、せんちょうをきめてなかったん</c><2>だ</c><1></c>
35.052,35.219,ん,-1,-1,<1></c><3>あ、そうか簡単だ、船長を決めてなかったん</c><2>だ</c><1></c>
35.219,35.486,だ,69,0,<1></c><3>あ、そうかかんたんだ、せんちょうをきめてなかったんだ</c><1></c>
35.219,35.486,だ,-1,-1,<1></c><3>あ、そうか簡単だ、船長を決めてなかったんだ</c><1></c>
35.953,36.353,そ,-1,0,<1></c><3>そ</c><2>れがだんけつできないよういんか</c><1></c>
35.953,36.353,そ,-1,-1,<1></c><3>そ</c><2>れが団結できない要因か</c><1></c>
36.353,36.52,れ,-1,0,<1></c><3>それ</c><2>がだんけつできないよういんか</c><1></c>
36.353,36.52,れ,-1,-1,<1></c><3>それ</c><2>が団結できない要因か</c><1></c>
36.52,36.72,が,-1,0,<1></c><3>それが</c><2>だんけつできないよういんか</c><1></c>
36.52,36.72,が,-1,-1,<1></c><3>それが</c><2>団結できない要因か</c><1></c>
36.72,36.92,だ,-1,0,<1></c><3>それがだ</c><2>んけつできないよういんか</c><1></c>
36.72,37.087,団,-1,-1,<1></c><3>それが団</c><2>結できない要因か</c><1></c>
36.92,37.087,ん,-1,0,<1></c><3>それがだん</c><2>けつできないよういんか</c><1></c>
37.087,37.254,け,-1,0,<1></c><3>それがだんけ</c><2>つできないよういんか</c><1></c>
37.087,37.354,結,-1,-1,<1></c><3>それが団結</c><2>できない要因か</c><1></c>
37.254,37.354,つ,-1,0,<1></c><3>それがだんけつ</c><2>できないよういんか</c><1></c>
37.354,37.454,で,-1,0,<1></c><3>それがだんけつで</c><2>きないよういんか</c><1></c>
37.354,37.454,で,-1,-1,<1></c><3>それが団結で</c><2>きない要因か</c><1></c>
37.454,37.654,き,-1,0,<1></c><3>それがだんけつでき</c><2>ないよういんか</c><1></c>
37.454,37.654,き,-1,-1,<1></c><3>それが団結でき</c><2>ない要因か</c><1></c>
37.654,37.755,な,-1,0,<1></c><3>それがだんけつできな</c><2>いよういんか</c><1></c>
37.654,37.755,な,-1,-1,<1></c><3>それが団結できな</c><2>い要因か</c><1></c>
37.755,37.855,い,-1,0,<1></c><3>それがだんけつできない</c><2>よういんか</c><1></c>
37.755,37.855,い,-1,-1,<1></c><3>それが団結できない</c><2>要因か</c><1></c>
