start,end,position,line,text,token
0.718,1.151,-1,0,<1></c><100>らい</c><101>ばいべいびー</c><1></c>,らい
0.718,1.151,-1,-1,<1></c><100>ライ</c><101>バイ　ベイビー</c><1></c>,ライ
1.151,1.485,-1,0,<1></c><100>らいばい</c><101>べいびー</c><1></c>,ばい
1.151,1.485,-1,-1,<1></c><100>ライバイ　</c><101>ベイビー</c><1></c>,バイ　
1.485,1.852,-1,0,<1></c><100>らいばいべい</c><101>びー</c><1></c>,べい
1.485,1.852,-1,-1,<1></c><100>ライバイ　ベイ</c><101>ビー</c><1></c>,ベイ
1.852,2.152,-1,0,<1></c><100>らいばいべいびー</c><1></c>,びー
1.852,2.152,-1,-1,<1></c><100>ライバイ　ベイビー</c><1></c>,ビー
2.152,2.553,-1,0,<1></c><100>まい</c><101>まいまいらいふ</c><1></c>,まい
2.152,2.553,-1,-1,<1></c><100>マイ</c><101>マイ　マイライフ</c><1></c>,マイ
2.553,2.886,-1,0,<1></c><100>まいまい</c><101>まいらいふ</c><1></c>,まい
2.553,2.886,-1,-1,<1></c><100>マイマイ　</c><101>マイライフ</c><1></c>,マイ　
2.886,3.287,-1,0,<1></c><100>まいまいまい</c><101>らいふ</c><1></c>,まい
2.886,3.287,-1,-1,<1></c><100>マイマイ　マイ</c><101>ライフ</c><1></c>,マイ
3.287,3.821,-1,0,<1></c><100>まいまいまいらいふ</c><1></c>,らいふ
3.287,3.821,-1,-1,<1></c><100>マイマイ　マイライフ</c><1></c>,ライフ
3.821,3.954,-1,0,<1></c><100>そ</c><101>れならぼくとおどりませんか</c><1></c>,そ
3.821,3.954,-1,-1,<1></c><100>そ</c><101>れなら僕と踊りませんか</c><1></c>,そ
3.954,4.121,-1,0,<1></c><100>それ</c><101>ならぼくとおどりませんか</c><1></c>,れ
3.954,4.121,-1,-1,<1></c><100>それ</c><101>なら僕と踊りませんか</c><1></c>,れ
4.121,4.321,-1,0,<1></c><100>それな</c><101>らぼくとおどりませんか</c><1></c>,な
4.121,4.321,-1,-1,<1></c><100>それな</c><101>ら僕と踊りませんか</c><1></c>,な
4.321,4.488,-1,0,<1></c><100>それなら</c><101>ぼくとおどりませんか</c><1></c>,ら
4.321,4.488,-1,-1,<1></c><100>それなら</c><101>僕と踊りませんか</c><1></c>,ら
4.488,4.688,-1,0,<1></c><100>それならぼ</c><101>くとおどりませんか</c><1></c>,ぼ
4.488,4.822,-1,-1,<1></c><100>それなら僕</c><101>と踊りませんか</c><1></c>,僕
4.688,4.822,-1,0,<1></c><100>それならぼく</c><101>とおどりませんか</c><1></c>,く
4.822,5.022,-1,0,<1></c><100>それならぼくと</c><101>おどりませんか</c><1></c>,と
4.822,5.022,-1,-1,<1></c><100>それなら僕と</c><101>踊りませんか</c><1></c>,と
5.022,5.189,-1,0,<1></c><100>それならぼくとお</c><101>どりませんか</c><1></c>,お
5.022,5.356,-1,-1,<1></c><100>それなら僕と踊</c><101>りませんか</c><1></c>,踊
5.189,5.356,-1,0,<1></c><100>それならぼくとおど</c><101>りませんか</c><1></c>,ど
5.356,5.556,-1,0,<1></c><100>それならぼくとおどり</c><101>ませんか</c><1></c>,り
5.356,5.556,-1,-1,<1></c><100>それなら僕と踊り</c><101>ませんか</c><1></c>,り
5.556,5.723,-1,0,<1></c><100>それならぼくとおどりま</c><101>せんか</c><1></c>,ま
5.556,5.723,-1,-1,<1></c><100>それなら僕と踊りま</c><101>せんか</c><1></c>,ま
5.723,5.889,-1,0,<1></c><100>それならぼくとおどりませ</c><101>んか</c><1></c>,せ
5.723,5.889,-1,-1,<1></c><100>それなら僕と踊りませ</c><101>んか</c><1></c>,せ
5.889,6.056,-1,0,<1></c><100>それならぼくとおどりません</c><101>か</c><1></c>,ん
5.889,6.056,-1,-1,<1></c><100>それなら僕と踊りません</c><101>か</c><1></c>,ん
6.056,6.39,-1,0,<1></c><100>それならぼくとおどりませんか</c><1></c>,か
6.056,6.39,-1,-1,<1></c><100>それなら僕と踊りませんか</c><1></c>,か
6.39,6.757,-1,0,<1></c><3>らい</c><101>ばいべいびー</c><1></c>,らい
6.39,6.757,-1,-1,<1></c><3>ライ</c><101>バイ　ベイビー</c><1></c>,ライ
6.757,7.124,-1,0,<1></c><3>らいばい</c><101>べいびー</c><1></c>,ばい
6.757,7.124,-1,-1,<1></c><3>ライバイ　</c><101>ベイビー</c><1></c>,バイ　
7.124,7.458,-1,0,<1></c><3>らいばいべい</c><101>びー</c><1></c>,べい
7.124,7.458,-1,-1,<1></c><3>ライバイ　ベイ</c><101>ビー</c><1></c>,ベイ
7.458,7.825,-1,0,<1></c><3>らいばいべいびー</c><1></c>,びー
7.458,7.825,-1,-1,<1></c><3>ライバイ　ベイビー</c><1></c>,ビー
7.825,8.158,-1,0,<1></c><3>まい</c><101>まいまいらいふ</c><1></c>,まい
7.825,8.158,-1,-1,<1></c><3>マイ</c><101>マイ　マイライフ</c><1></c>,マイ
8.158,8.492,-1,0,<1></c><3>まいまい</c><101>まいらいふ</c><1></c>,まい
8.158,8.492,-1,-1,<1></c><3>マイマイ　</c><101>マイライフ</c><1></c>,マイ　
8.492,8.892,-1,0,<1></c><3>まいまいまい</c><101>らいふ</c><1></c>,まい
8.492,8.892,-1,-1,<1></c><3>マイマイ　マイ</c><101>ライフ</c><1></c>,マイ
8.892,9.426,-1,0,<1></c><3>まいまいまいらいふ</c><1></c>,らいふ
8.892,9.426,-1,-1,<1></c><3>マイマイ　マイライフ</c><1></c>,ライフ
9.426,9.593,-1,85,<1></c><3>だ</c><101>ってそれは退屈の合図</c><1></c>,だ
9.426,9.593,-1,21,<1></c><3>だ</c><101>ってそれはたいくつのあいず</c><1></c>,だ
9.593,9.793,-1,85,<1></c><3>だっ</c><101>てそれは退屈の合図</c><1></c>,っ
9.593,9.793,-1,21,<1></c><3>だっ</c><101>てそれはたいくつのあいず</c><1></c>,っ
9.793,9.96,-1,85,<1></c><3>だって</c><101>それは退屈の合図</c><1></c>,て
9.793,9.96,-1,21,<1></c><3>だって</c><101>それはたいくつのあいず</c><1></c>,て
9.96,10.127,-1,85,<1></c><3>だってそ</c><101>れは退屈の合図</c><1></c>,そ
9.96,10.127,-1,21,<1></c><3>だってそ</c><101>れはたいくつのあいず</c><1></c>,そ
10.127,10.294,-1,85,<1></c><3>だってそれ</c><101>は退屈の合図</c><1></c>,れ
10.127,10.294,-1,21,<1></c><3>だってそれ</c><101>はたいくつのあいず</c><1></c>,れ
10.294,10.494,-1,85,<1></c><3>だってそれは</c><101>退屈の合図</c><1></c>,は
10.294,10.494,-1,21,<1></c><3>だってそれは</c><101>たいくつのあいず</c><1></c>,は
10.494,10.828,-1,85,<1></c><3>だってそれは退</c><101>屈の合図</c><1></c>,退
10.494,10.661,-1,21,<1></c><3>だってそれはた</c><101>いくつのあいず</c><1></c>,た
10.661,10.828,-1,21,<1></c><3>だってそれはたい</c><101>くつのあいず</c><1></c>,い
10.828,11.195,-1,85,<1></c><3>だってそれは退屈</c><101>の合図</c><1></c>,屈
10.828,11.028,-1,21,<1></c><3>だってそれはたいく</c><101>つのあいず</c><1></c>,く
11.028,11.195,-1,21,<1></c><3>だってそれはたいくつ</c><101>のあいず</c><1></c>,つ
11.195,11.362,-1,85,<1></c><3>だってそれは退屈の</c><101>合図</c><1></c>,の
11.195,11.362,-1,21,<1></c><3>だってそれはたいくつの</c><101>あいず</c><1></c>,の
11.362,12.029,-1,85,<1></c><3>だってそれは退屈の合</c><101>図</c><1></c>,合
11.362,11.695,-1,21,<1></c><3>だってそれはたいくつのあ</c><101>いず</c><1></c>,あ
11.695,12.029,-1,21,<1></c><3>だってそれはたいくつのあい</c><101>ず</c><1></c>,い
12.029,12.429,-1,85,<1></c><3>だってそれは退屈の合図</c><1></c>,図
