start,end,position,line,text
00:00:02.019,00:00:02.186,-1,0,"<1></c><3>Hel</c><2>lo</c><3>!</c><2>Hello</c><3>!</c><2>Everyone</c><1></c>"
00:00:02.019,00:00:02.186,-1,-1,"<1></c><3>Hel</c><2>lo</c><3>!</c><2>Hello</c><3>!</c><2>Everyone</c><1></c>"
00:00:02.186,00:00:02.252,-1,0,"<1></c><3>Hello!</c><2>Hello</c><3>!</c><2>Everyone</c><1></c>"
00:00:02.186,00:00:02.252,-1,-1,"<1></c><3>Hello!</c><2>Hello</c><3>!</c><2>Everyone</c><1></c>"
00:00:02.252,00:00:02.386,-1,0,"<1></c><3>Hello!Hel</c><2>lo</c><3>!</c><2>Everyone</c><1></c>"
00:00:02.252,00:00:02.386,-1,-1,"<1></c><3>Hello!Hel</c><2>lo</c><3>!</c><2>Everyone</c><1></c>"
00:00:02.386,00:00:02.486,-1,0,"<1></c><3>Hello!Hello!</c><2>Everyone</c><1></c>"
00:00:02.386,00:00:02.486,-1,-1,"<1></c><3>Hello!Hello!</c><2>Everyone</c><1></c>"
00:00:02.486,00:00:02.653,-1,0,"<1></c><3>Hello!Hello!Eve</c><2>ryone</c><1></c>"
00:00:02.486,00:00:02.653,-1,-1,"<1></c><3>Hello!Hello!Eve</c><2>ryone</c><1></c>"
00:00:02.653,00:00:02.820,-1,0,"<1></c><3>Hello!Hello!Every</c><2>one</c><1></c>"
00:00:02.653,00:00:02.820,-1,-1,"<1></c><3>Hello!Hello!Every</c><2>one</c><1></c>"
00:00:02.820,00:00:03.754,-1,0,"<1></c><3>Hello!Hello!Everyone</c><1></c>"
00:00:02.820,00:00:03.754,-1,-1,"<1></c><3>Hello!Hello!Everyone</c><1></c>"
00:00:03.754,00:00:03.921,-1,0,"<1></c><3>ま</c><2>もなくOnStage</c><1></c>"
00:00:03.754,00:00:03.921,-1,-1,"<1></c><3>ま</c><2>もなくOnStage</c><1></c>"
00:00:03.921,00:00:03.988,-1,0,"<1></c><3>まも</c><2>なくOnStage</c><1></c>"
00:00:03.921,00:00:03.988,-1,-1,"<1></c><3>まも</c><2>なくOnStage</c><1></c>"
00:00:03.988,00:00:04.088,-1,0,"<1></c><3>まもな</c><2>くOnStage</c><1></c>"
00:00:03.988,00:00:04.088,-1,-1,"<1></c><3>まもな</c><2>くOnStage</c><1></c>"
