start,end,position,line,text,unformatted
5.222,16.133,-1,0,<2></c><1>爆笑／syudou</c><2></c>,爆笑／syudou
5.222,7.958,-1,-1,<2></c><1>original:syudou</c><2></c>,original:syudou
7.958,10.661,-1,-1,<2></c><1>歌：オーロ・クロニー</c><2></c>,歌：オーロ・クロニー
10.661,13.397,-1,-1,<2></c><1>mix:よしけん</c><2></c>,mix:よしけん
13.397,16.133,-1,91,<2></c><1>art:hyde</c><2></c><1>move:rumskii</c><2></c>,art:hydemove:rumskii
16.133,16.3,-1,-1,<2></c><1>圧</c><3>倒的に多数の人が</c><2></c>,圧倒的に多数の人が
16.133,16.3,-1,0,<2></c><1>あ</c><3>っとうてきにたすうのひとが</c><2></c>,あっとうてきにたすうのひとが
16.3,16.467,-1,-1,<2></c><1>圧</c><3>倒的に多数の人が</c><2></c>,圧倒的に多数の人が
16.3,16.467,-1,0,<2></c><1>あっ</c><3>とうてきにたすうのひとが</c><2></c>,あっとうてきにたすうのひとが
16.467,16.667,-1,-1,<2></c><1>圧倒</c><3>的に多数の人が</c><2></c>,圧倒的に多数の人が
16.467,16.667,-1,0,<2></c><1>あっと</c><3>うてきにたすうのひとが</c><2></c>,あっとうてきにたすうのひとが
16.667,16.8,-1,-1,<2></c><1>圧倒</c><3>的に多数の人が</c><2></c>,圧倒的に多数の人が
16.667,16.8,-1,0,<2></c><1>あっとう</c><3>てきにたすうのひとが</c><2></c>,あっとうてきにたすうのひとが
16.8,16.967,-1,-1,<2></c><1>圧倒的</c><3>に多数の人が</c><2></c>,圧倒的に多数の人が
16.8,16.967,-1,0,<2></c><1>あっとうて</c><3>きにたすうのひとが</c><2></c>,あっとうてきにたすうのひとが
16.967,17.134,-1,-1,<2></c><1>圧倒的</c><3>に多数の人が</c><2></c>,圧倒的に多数の人が
16.967,17.134,-1,0,<2></c><1>あっとうてき</c><3>にたすうのひとが</c><2></c>,あっとうてきにたすうのひとが
17.134,17.334,-1,-1,<2></c><1>圧倒的に</c><3>多数の人が</c><2></c>,圧倒的に多数の人が
17.134,17.334,-1,0,<2></c><1>あっとうてきに</c><3>たすうのひとが</c><2></c>,あっとうてきにたすうのひとが
17.334,17.468,-1,-1,<2></c><1>圧倒的に多</c><3>数の人が</c><2></c>,圧倒的に多数の人が
17.334,17.468,-1,0,<2></c><1>あっとうてきにた</c><3>すうのひとが</c><2></c>,あっとうてきにたすうのひとが
17.468,17.668,-1,-1,<2></c><1>圧倒的に多数</c><3>の人が</c><2></c>,圧倒的に多数の人が
17.468,17.668,-1,0,<2></c><1>あっとうてきにたす</c><3>うのひとが</c><2></c>,あっとうてきにたすうのひとが
17.668,17.835,-1,-1,<2></c><1>圧倒的に多数</c><3>の人が</c><2></c>,圧倒的に多数の人が
