start,end,line,unformatted,segments,token,time_diff,unf_diff,line_diff,ref_start,ref_end,prev_segments,next_segments
42.726,43.093,-1,3人不要、でいいか？,"[(3, '3'), (3, '人'), (3, '不'), (3, '要'), (3, '、'), (3, 'で'), (3, 'い'), (3, 'い'), (3, 'か'), (3, '？')]",か？,False,True,True,True,False,"[(3, '3'), (3, '人'), (3, '不'), (3, '要'), (3, '、'), (3, 'で'), (3, 'い'), (3, 'い'), (3, 'か'), (3, '？')]","[(3, '3'), (3, '人'), (3, '不'), (3, '要'), (3, '、'), (3, 'で'), (3, 'い'), (3, 'い'), (2, 'か'), (2, '？')]"
42.526,42.726,-1,3人不要、でいいか？,"[(3, '3'), (3, '人'), (3, '不'), (3, '要'), (3, '、'), (3, 'で'), (3, 'い'), (3, 'い'), (2, 'か'), (2, '？')]",いい,False,False,False,False,False,"[(3, '3'), (3, '人'), (3, '不'), (3, '要'), (3, '、'), (3, 'で'), (3, 'い'), (3, 'い'), (3, 'か'), (3, '？')]","[(3, '3'), (3, '人'), (3, '不'), (3, '要'), (3, '、'), (3, 'で'), (2, 'い'), (2, 'い'), (2, 'か'), (2, '？')]"
42.359,42.526,-1,3人不要、でいいか？,"[(3, '3'), (3, '人'), (3, '不'), (3, '要'), (3, '、'), (3, 'で'), (2, 'い'), (2, 'い'), (2, 'か'), (2, '？')]",で,False,False,False,False,False,"[(3, '3'), (3, '人'), (3, '不'), (3, '要'), (3, '、'), (3, 'で'), (3, 'い'), (3, 'い'), (2, 'か'), (2, '？')]","[(3, '3'), (3, '人'), (3, '不'), (3, '要'), (3, '、'), (2, 'で'), (2, 'い'), (2, 'い'), (2, 'か'), (2, '？')]"
42.159,42.359,-1,3人不要、でいいか？,"[(3, '3'), (3, '人'), (3, '不'), (3, '要'), (3, '、'), (2, 'で'), (2, 'い'), (2, 'い'), (2, 'か'), (2, '？')]",要、,False,False,False,False,False,"[(3, '3'), (3, '人'), (3, '不'), (3, '要'), (3, '、'), (3, 'で'), (2, 'い'), (2, 'い'), (2, 'か'), (2, '？')]","[(3, '3'), (3, '人'), (3, '不'), (2, '要'), (2, '、'), (2, 'で'), (2, 'い'), (2, 'い'), (2, 'か'), (2, '？')]"
41.959,42.159,-1,3人不要、でいいか？,"[(3, '3'), (3, '人'), (3, '不'), (2, '要'), (2, '、'), (2, 'で'), (2, 'い'), (2, 'い'), (2, 'か'), (2, '？')]",不,False,False,False,False,False,"[(3, '3'), (3, '人'), (3, '不'), (3, '要'), (3, '、'), (2, 'で'), (2, 'い'), (2, 'い'), (2, 'か'), (2, '？')]","[(3, '3'), (3, '人'), (2, '不'), (2, '要'), (2, '、'), (2, 'で'), (2, 'い'), (2, 'い'), (2, 'か'), (2, '？')]"
41.792,41.959,-1,3人不要、でいいか？,"[(3, '3'), (3, '人'), (2, '不'), (2, '要'), (2, '、'), (2, 'で'), (2, 'い'), (2, 'い'), (2, 'か'), (2, '？')]",人,False,False,False,False,False,"[(3, '3'), (3, '人'), (3, '不'), (2, '要'), (2, '、'), (2, 'で'), (2, 'い'), (2, 'い'), (2, 'か'), (2, '？')]","[(3, '3'), (2, '人'), (2, '不'), (2, '要'), (2, '、'), (2, 'で'), (2, 'い'), (2, 'い'), (2, 'か'), (2, '？')]"
41.592,41.792,-1,3人不要、でいいか？,"[(3, '3'), (2, '人'), (2, '不'), (2, '要'), (2, '、'), (2, 'で'), (2, 'い'), (2, 'い'), (2, 'か'), (2, '？')]",3,False,False,False,False,True,"[(3, '3'), (3, '人'), (2, '不'), (2, '要'), (2, '、'), (2, 'で'), (2, 'い'), (2, 'い'), (2, 'か'), (2, '？')]","[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e'), (3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e')]"
107.057,107.758,0,choosemechooseme,"[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e'), (3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e')]",me,True,True,True,True,False,"[(3, '3'), (2, '人'), (2, '不'), (2, '要'), (2, '、'), (2, 'で'), (2, 'い'), (2, 'い'), (2, 'か'), (2, '？')]","[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e'), (3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (2, 'm'), (2, 'e')]"
106.824,107.057,0,choosemechooseme,"[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e'), (3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (2, 'm'), (2, 'e')]",se,False,False,False,False,False,"[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e'), (3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e')]","[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e'), (3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e')]"
105.722,106.824,0,choosemechooseme,"[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e'), (3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e')]",choo,False,False,False,False,False,"[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e'), (3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (2, 'm'), (2, 'e')]","[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e'), (2, 'c'), (2, 'h'), (2, 'o'), (2, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e')]"
