start,end,line,unformatted,segments,time_diff,unf_diff,line_diff,ref_start,ref_end,prev_segments,next_segments,token
13.831,16.4,-1,mix：よしけん,"[(6, 'm'), (6, 'i'), (6, 'x'), (6, '：'), (6, 'よ'), (6, 'し'), (6, 'け'), (6, 'ん')]",False,True,True,True,True,"[(6, 'm'), (6, 'i'), (6, 'x'), (6, '：'), (6, 'よ'), (6, 'し'), (6, 'け'), (6, 'ん')]","[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (3, 'い'), (3, 'は'), (3, 'き'), (3, 'ん'), (3, 'も'), (3, 'つ'), (3, 'だ'), (3, 'よ')]",mix：よしけん
31.048,31.382,0,あいにきたいはきんもつだよ,"[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (3, 'い'), (3, 'は'), (3, 'き'), (3, 'ん'), (3, 'も'), (3, 'つ'), (3, 'だ'), (3, 'よ')]",True,True,True,True,False,"[(6, 'm'), (6, 'i'), (6, 'x'), (6, '：'), (6, 'よ'), (6, 'し'), (6, 'け'), (6, 'ん')]","[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (3, 'い'), (3, 'は'), (3, 'き'), (3, 'ん'), (3, 'も'), (3, 'つ'), (3, 'だ'), (7, 'よ')]",よ
30.881,31.048,0,あいにきたいはきんもつだよ,"[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (3, 'い'), (3, 'は'), (3, 'き'), (3, 'ん'), (3, 'も'), (3, 'つ'), (3, 'だ'), (7, 'よ')]",False,False,False,False,False,"[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (3, 'い'), (3, 'は'), (3, 'き'), (3, 'ん'), (3, 'も'), (3, 'つ'), (3, 'だ'), (3, 'よ')]","[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (3, 'い'), (3, 'は'), (3, 'き'), (3, 'ん'), (3, 'も'), (3, 'つ'), (7, 'だ'), (7, 'よ')]",だ
30.748,30.881,0,あいにきたいはきんもつだよ,"[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (3, 'い'), (3, 'は'), (3, 'き'), (3, 'ん'), (3, 'も'), (3, 'つ'), (7, 'だ'), (7, 'よ')]",False,False,False,False,False,"[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (3, 'い'), (3, 'は'), (3, 'き'), (3, 'ん'), (3, 'も'), (3, 'つ'), (3, 'だ'), (7, 'よ')]","[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (3, 'い'), (3, 'は'), (3, 'き'), (3, 'ん'), (3, 'も'), (7, 'つ'), (7, 'だ'), (7, 'よ')]",つ
30.581,30.748,0,あいにきたいはきんもつだよ,"[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (3, 'い'), (3, 'は'), (3, 'き'), (3, 'ん'), (3, 'も'), (7, 'つ'), (7, 'だ'), (7, 'よ')]",False,False,False,False,False,"[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (3, 'い'), (3, 'は'), (3, 'き'), (3, 'ん'), (3, 'も'), (3, 'つ'), (7, 'だ'), (7, 'よ')]","[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (3, 'い'), (3, 'は'), (3, 'き'), (3, 'ん'), (7, 'も'), (7, 'つ'), (7, 'だ'), (7, 'よ')]",も
30.414,30.581,0,あいにきたいはきんもつだよ,"[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (3, 'い'), (3, 'は'), (3, 'き'), (3, 'ん'), (7, 'も'), (7, 'つ'), (7, 'だ'), (7, 'よ')]",False,False,False,False,False,"[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (3, 'い'), (3, 'は'), (3, 'き'), (3, 'ん'), (3, 'も'), (7, 'つ'), (7, 'だ'), (7, 'よ')]","[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (3, 'い'), (3, 'は'), (3, 'き'), (7, 'ん'), (7, 'も'), (7, 'つ'), (7, 'だ'), (7, 'よ')]",ん
30.28,30.414,0,あいにきたいはきんもつだよ,"[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (3, 'い'), (3, 'は'), (3, 'き'), (7, 'ん'), (7, 'も'), (7, 'つ'), (7, 'だ'), (7, 'よ')]",False,False,False,False,False,"[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (3, 'い'), (3, 'は'), (3, 'き'), (3, 'ん'), (7, 'も'), (7, 'つ'), (7, 'だ'), (7, 'よ')]","[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (3, 'い'), (3, 'は'), (7, 'き'), (7, 'ん'), (7, 'も'), (7, 'つ'), (7, 'だ'), (7, 'よ')]",き
30.08,30.28,0,あいにきたいはきんもつだよ,"[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (3, 'い'), (3, 'は'), (7, 'き'), (7, 'ん'), (7, 'も'), (7, 'つ'), (7, 'だ'), (7, 'よ')]",False,False,False,False,False,"[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (3, 'い'), (3, 'は'), (3, 'き'), (7, 'ん'), (7, 'も'), (7, 'つ'), (7, 'だ'), (7, 'よ')]","[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (3, 'い'), (7, 'は'), (7, 'き'), (7, 'ん'), (7, 'も'), (7, 'つ'), (7, 'だ'), (7, 'よ')]",は
29.947,30.08,0,あいにきたいはきんもつだよ,"[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (3, 'い'), (7, 'は'), (7, 'き'), (7, 'ん'), (7, 'も'), (7, 'つ'), (7, 'だ'), (7, 'よ')]",False,False,False,False,False,"[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (3, 'い'), (3, 'は'), (7, 'き'), (7, 'ん'), (7, 'も'), (7, 'つ'), (7, 'だ'), (7, 'よ')]","[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (7, 'い'), (7, 'は'), (7, 'き'), (7, 'ん'), (7, 'も'), (7, 'つ'), (7, 'だ'), (7, 'よ')]",い
29.78,29.947,0,あいにきたいはきんもつだよ,"[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (7, 'い'), (7, 'は'), (7, 'き'), (7, 'ん'), (7, 'も'), (7, 'つ'), (7, 'だ'), (7, 'よ')]",False,False,False,False,False,"[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (3, 'た'), (3, 'い'), (7, 'は'), (7, 'き'), (7, 'ん'), (7, 'も'), (7, 'つ'), (7, 'だ'), (7, 'よ')]","[(3, 'あ'), (3, 'い'), (3, 'に'), (3, 'き'), (7, 'た'), (7, 'い'), (7, 'は'), (7, 'き'), (7, 'ん'), (7, 'も'), (7, 'つ'), (7, 'だ'), (7, 'よ')]",た
