start,end,line,unformatted,segments,ref_start,ref_end,common_number
280.564,283.166,92,3dcgengineer:ふにゃ(ofutone),"[(13, '3dcgengineer:ふにゃ(ofutone)')]",True,True,0
283.166,285.736,92,recording&amp;mixingengineer:nnzn(ofutone),"[(13, 'recording&amp;mixingengineer:nnzn(ofutone)')]",True,True,0
293.443,300.384,0,specialthanks:わためいと／watamates,"[(13, 'specialthanks:わためいと／watamates')]",True,True,0
288.305,290.874,92,tsunomakiproductionteam,"[(13, 'tsunomakiproductionteam')]",True,True,0
277.961,280.564,92,videodirection&amp;composite:をとは(ofutone),"[(13, 'videodirection&amp;composite:をとは(ofutone)')]",True,True,0
285.736,288.305,92,vocaldirection:かっさん(nekohacker),"[(13, 'vocaldirection:かっさん(nekohacker)')]",True,True,0
94.745,97.314,92,あぁ　虹が架かる,"[(7, 'あ'), (11, 'ぁ\u3000'), (12, '虹'), (4, 'が'), (2, '架'), (3, 'か'), (6, 'る')]",True,False,13
94.111,94.745,92,あぁ　虹が架かる,"[(7, 'あ'), (11, 'ぁ\u3000'), (12, '虹'), (4, 'が'), (2, '架'), (3, 'か'), (13, 'る')]",False,False,13
93.477,94.111,92,あぁ　虹が架かる,"[(7, 'あ'), (11, 'ぁ\u3000'), (12, '虹'), (4, 'が'), (2, '架'), (13, 'かる')]",False,False,13
92.81,93.477,92,あぁ　虹が架かる,"[(7, 'あ'), (11, 'ぁ\u3000'), (12, '虹'), (4, 'が'), (13, '架かる')]",False,False,13
92.176,92.81,92,あぁ　虹が架かる,"[(7, 'あ'), (11, 'ぁ\u3000'), (12, '虹'), (13, 'が架かる')]",False,False,13
91.842,92.176,92,あぁ　虹が架かる,"[(7, 'あ'), (11, 'ぁ\u3000'), (12, '虹'), (13, 'が架かる')]",False,False,13
90.908,91.842,92,あぁ　虹が架かる,"[(7, 'あ'), (11, 'ぁ\u3000'), (13, '虹が架かる')]",False,False,13
