start,end,line,unformatted,token
0.718,0.951,0,ここにあるよたいせつなものがあるよ,こ
0.718,0.951,92,ここにあるよ大切なものがあるよ,こ
0.951,1.285,0,ここにあるよたいせつなものがあるよ,こ
0.951,1.285,92,ここにあるよ大切なものがあるよ,こ
1.285,1.452,0,ここにあるよたいせつなものがあるよ,に
1.285,1.452,92,ここにあるよ大切なものがあるよ,に
1.452,1.785,0,ここにあるよたいせつなものがあるよ,あ
1.452,1.785,92,ここにあるよ大切なものがあるよ,あ
1.785,1.986,0,ここにあるよたいせつなものがあるよ,る
1.785,1.986,92,ここにあるよ大切なものがあるよ,る
1.986,2.653,0,ここにあるよたいせつなものがあるよ,よ
1.986,2.653,92,ここにあるよ大切なものがあるよ,よ
2.653,3.02,0,ここにあるよたいせつなものがあるよ,た
2.653,3.02,92,ここにあるよ大切なものがあるよ,大
3.02,3.253,0,ここにあるよたいせつなものがあるよ,い
3.02,3.253,92,ここにあるよ大切なものがあるよ,大
3.253,3.52,0,ここにあるよたいせつなものがあるよ,せ
3.253,3.52,92,ここにあるよ大切なものがあるよ,切
3.52,3.687,0,ここにあるよたいせつなものがあるよ,つ
3.52,3.687,92,ここにあるよ大切なものがあるよ,切
3.687,3.988,0,ここにあるよたいせつなものがあるよ,な
3.687,3.988,92,ここにあるよ大切なものがあるよ,な
3.988,4.355,0,ここにあるよたいせつなものがあるよ,も
3.988,4.355,92,ここにあるよ大切なものがあるよ,も
4.355,4.722,0,ここにあるよたいせつなものがあるよ,の
4.355,4.722,92,ここにあるよ大切なものがあるよ,の
4.722,4.888,0,ここにあるよたいせつなものがあるよ,が
4.722,4.888,92,ここにあるよ大切なものがあるよ,が
4.888,5.255,0,ここにあるよたいせつなものがあるよ,あ
4.888,5.255,92,ここにあるよ大切なものがあるよ,あ
5.255,5.422,0,ここにあるよたいせつなものがあるよ,る
5.255,5.422,92,ここにあるよ大切なものがあるよ,る
5.422,7.691,0,ここにあるよたいせつなものがあるよ,よ
5.422,7.691,92,ここにあるよ大切なものがあるよ,よ
7.691,8.125,0,ときがかわろうとmylife,と
7.691,8.125,92,時が変わろうとmylife,が
8.125,8.459,0,ときがかわろうとmylife,き
8.125,8.459,92,時が変わろうとmylife,が
8.459,8.726,0,ときがかわろうとmylife,が
8.459,8.726,92,時が変わろうとmylife,が
8.726,8.993,0,ときがかわろうとmylife,か
8.726,8.993,92,時が変わろうとmylife,変
8.993,9.259,0,ときがかわろうとmylife,わ
8.993,9.259,92,時が変わろうとmylife,わ
9.259,9.56,0,ときがかわろうとmylife,ろ
9.259,9.56,92,時が変わろうとmylife,ろ
9.56,9.827,0,ときがかわろうとmylife,う
9.56,9.827,92,時が変わろうとmylife,う
9.827,11.161,0,ときがかわろうとmylife,と
9.827,11.161,92,時が変わろうとmylife,と
11.161,11.729,0,ときがかわろうとmylife,my
11.161,11.729,92,時が変わろうとmylife,my
11.729,15.532,0,ときがかわろうとmylife,life
11.729,15.532,92,時が変わろうとmylife,life
15.532,16.066,85,(timegoesby…),(time
15.532,16.066,7,(timegoesby…),(time
15.532,18.068,92,lyrics:柿沼雅美,lyrics:柿沼雅美
15.532,25.709,0,momentofmylife／irys,momentofmylife／irys
16.066,16.5,85,(timegoesby…),goes
16.066,16.5,7,(timegoesby…),goes
16.5,16.967,85,(timegoesby…),by…)
16.5,16.967,7,(timegoesby…),by…)
16.967,17.468,85,(wheredoyouwanttogo?),(where
16.967,17.468,7,(wheredoyouwanttogo?),(where
17.468,17.801,85,(wheredoyouwanttogo?),do
17.468,17.801,7,(wheredoyouwanttogo?),do
17.801,18.102,85,(wheredoyouwanttogo?),you
17.801,18.102,7,(wheredoyouwanttogo?),you
18.068,20.637,92,music:森本練,music:森本練
18.102,18.535,85,(wheredoyouwanttogo?),want
18.102,18.535,7,(wheredoyouwanttogo?),want
18.535,19.036,85,(wheredoyouwanttogo?),to
18.535,19.036,7,(wheredoyouwanttogo?),to
19.036,19.503,85,(wheredoyouwanttogo?),go?)
19.036,19.503,7,(wheredoyouwanttogo?),go?)
19.503,19.803,85,(justrideontime),(just
19.503,19.803,7,(justrideontime),(just
19.803,19.97,85,(justrideontime),ride
19.803,19.97,7,(justrideontime),ride
19.97,20.204,85,(justrideontime),on
19.97,20.204,7,(justrideontime),on
20.204,20.637,85,(justrideontime),time)
20.204,20.637,7,(justrideontime),time)
20.637,21.138,85,(timegoesby…),(time
20.637,21.138,7,(timegoesby…),(time
20.637,23.173,92,arranger:佐藤カズキ,arranger:佐藤カズキ
21.138,21.572,85,(timegoesby…),goes
21.138,21.572,7,(timegoesby…),goes
21.572,22.039,85,(timegoesby…),by…)
21.572,22.039,7,(timegoesby…),by…)
22.039,22.339,71,(takemetothetimewhereicanfindyou),(take
22.039,22.339,7,(takemetothetimewhereicanfindyou),(take
22.339,22.506,71,(takemetothetimewhereicanfindyou),me
22.339,22.506,7,(takemetothetimewhereicanfindyou),me
22.506,22.84,71,(takemetothetimewhereicanfindyou),to
22.506,22.84,7,(takemetothetimewhereicanfindyou),to
22.84,23.14,71,(takemetothetimewhereicanfindyou),the
22.84,23.14,7,(takemetothetimewhereicanfindyou),the
23.14,23.774,71,(takemetothetimewhereicanfindyou),time
23.14,23.774,7,(takemetothetimewhereicanfindyou),time
23.173,25.709,92,bass:永井正道,bass:永井正道
23.774,24.408,71,(takemetothetimewhereicanfindyou),where
23.774,24.408,7,(takemetothetimewhereicanfindyou),where
24.408,25.075,71,(takemetothetimewhereicanfindyou),i
24.408,25.075,7,(takemetothetimewhereicanfindyou),i
25.075,25.676,71,(takemetothetimewhereicanfindyou),can
25.075,25.676,7,(takemetothetimewhereicanfindyou),can
25.676,28.245,71,(takemetothetimewhereicanfindyou),find
25.676,28.245,7,(takemetothetimewhereicanfindyou),find
25.709,28.245,91,recording&amp;mixingengineer:菊池司（arterefact）,recording&amp;mixingengineer:菊池司（arterefact）
28.245,30.147,71,(takemetothetimewhereicanfindyou),you)
28.245,30.147,7,(takemetothetimewhereicanfindyou),you)
28.245,30.147,92,vocals:irys,vocals:irys
30.147,30.314,0,しらないまちかぜそら,し
30.147,30.314,92,知らない街風空,知
30.314,30.447,0,しらないまちかぜそら,ら
30.314,30.447,92,知らない街風空,ら
30.447,30.781,0,しらないまちかぜそら,な
