start,end,line,unformatted,segments,ref_start,ref_end,common_number,remainder
98.749,99.483,0,don\'tknowhowhowweshoulddo.,"[(1, ""don\\'tknowhowhowweshoulddo."")]",True,False,3,don\'tknowhowhowweshoulddo.
98.582,98.749,0,don\'tknowhowhowweshoulddo.,"[(1, ""don\\'tknowhowhowweshould""), (3, 'do.')]",False,False,3,do.
98.382,98.582,0,don\'tknowhowhowweshoulddo.,"[(1, ""don\\'tknowhowhowwe""), (3, 'shoulddo.')]",False,False,3,shoulddo.
98.182,98.382,0,don\'tknowhowhowweshoulddo.,"[(1, ""don\\'tknowhowhow""), (3, 'weshoulddo.')]",False,False,3,weshoulddo.
97.648,98.182,0,don\'tknowhowhowweshoulddo.,"[(1, ""don\\'tknowhow""), (3, 'howweshoulddo.')]",False,False,3,howweshoulddo.
97.448,97.648,0,don\'tknowhowhowweshoulddo.,"[(1, ""don\\'tknow""), (3, 'howhowweshoulddo.')]",False,False,3,howhowweshoulddo.
97.281,97.448,0,don\'tknowhowhowweshoulddo.,"[(1, ""don\\'t""), (3, 'knowhowhowweshoulddo.')]",False,False,3,knowhowhowweshoulddo.
98.749,99.483,-1,don\'tknowhowhowweshoulddo.,"[(1, ""don\\'tknowhowhowweshoulddo."")]",False,False,3,don\'tknowhowhowweshoulddo.
98.582,98.749,-1,don\'tknowhowhowweshoulddo.,"[(1, ""don\\'tknowhowhowweshould""), (3, 'do.')]",False,False,3,do.
98.382,98.582,-1,don\'tknowhowhowweshoulddo.,"[(1, ""don\\'tknowhowhowwe""), (3, 'shoulddo.')]",False,False,3,shoulddo.
98.182,98.382,-1,don\'tknowhowhowweshoulddo.,"[(1, ""don\\'tknowhowhow""), (3, 'weshoulddo.')]",False,False,3,weshoulddo.
97.648,98.182,-1,don\'tknowhowhowweshoulddo.,"[(1, ""don\\'tknowhow""), (3, 'howweshoulddo.')]",False,False,3,howweshoulddo.
97.448,97.648,-1,don\'tknowhowhowweshoulddo.,"[(1, ""don\\'tknow""), (3, 'howhowweshoulddo.')]",False,False,3,howhowweshoulddo.
97.281,97.448,-1,don\'tknowhowhowweshoulddo.,"[(1, ""don\\'t""), (3, 'knowhowhowweshoulddo.')]",False,True,3,knowhowhowweshoulddo.
237.421,238.488,0,don’tyouheartheringing?,"[(1, 'don’tyouheartheringing?')]",True,False,3,don’tyouheartheringing?
237.054,237.421,0,don’tyouheartheringing?,"[(1, 'don’tyouhearthering'), (3, 'ing?')]",False,False,3,ing?
236.687,237.054,0,don’tyouheartheringing?,"[(1, 'don’tyouhearthe'), (3, 'ringing?')]",False,False,3,ringing?
236.353,236.687,0,don’tyouheartheringing?,"[(1, 'don’tyouhear'), (3, 'theringing?')]",False,False,3,theringing?
236.186,236.353,0,don’tyouheartheringing?,"[(1, 'don’tyou'), (3, 'heartheringing?')]",False,False,3,heartheringing?
235.953,236.186,0,don’tyouheartheringing?,"[(1, 'don’t'), (3, 'youheartheringing?')]",False,False,3,youheartheringing?
13.53,14.565,0,don’tyouheartheringing?,"[(1, 'don’tyouheartheringing?')]",False,False,3,don’tyouheartheringing?
13.163,13.53,0,don’tyouheartheringing?,"[(1, 'don’tyouhearthering'), (3, 'ing?')]",False,False,3,ing?
12.796,13.163,0,don’tyouheartheringing?,"[(1, 'don’tyouhearthe'), (3, 'ringing?')]",False,False,3,ringing?
12.429,12.796,0,don’tyouheartheringing?,"[(1, 'don’tyouhear'), (3, 'theringing?')]",False,False,3,theringing?
12.262,12.429,0,don’tyouheartheringing?,"[(1, 'don’tyou'), (3, 'heartheringing?')]",False,False,3,heartheringing?
12.062,12.262,0,don’tyouheartheringing?,"[(1, 'don’t'), (3, 'youheartheringing?')]",False,False,3,youheartheringing?
13.53,14.565,-1,don’tyouheartheringing?,"[(1, 'don’tyouheartheringing?')]",False,False,3,don’tyouheartheringing?
13.163,13.53,-1,don’tyouheartheringing?,"[(1, 'don’tyouhearthering'), (3, 'ing?')]",False,False,3,ing?
12.796,13.163,-1,don’tyouheartheringing?,"[(1, 'don’tyouhearthe'), (3, 'ringing?')]",False,False,3,ringing?
12.429,12.796,-1,don’tyouheartheringing?,"[(1, 'don’tyouhear'), (3, 'theringing?')]",False,False,3,theringing?
12.262,12.429,-1,don’tyouheartheringing?,"[(1, 'don’tyou'), (3, 'heartheringing?')]",False,False,3,heartheringing?
12.062,12.262,-1,don’tyouheartheringing?,"[(1, 'don’t'), (3, 'youheartheringing?')]",False,True,3,youheartheringing?
233.016,234.117,0,everydayeveryheart,"[(1, 'everydayeveryheart')]",True,False,3,everydayeveryheart
232.649,233.016,0,everydayeveryheart,"[(1, 'everydayevery'), (3, 'heart')]",False,False,3,heart
232.316,232.649,0,everydayeveryheart,"[(1, 'everydayeve'), (3, 'ryheart')]",False,False,3,ryheart
231.949,232.316,0,everydayeveryheart,"[(1, 'everyday'), (3, 'everyheart')]",False,False,3,everyheart
231.748,231.949,0,everydayeveryheart,"[(1, 'every'), (3, 'dayeveryheart')]",False,False,3,dayeveryheart
231.548,231.748,0,everydayeveryheart,"[(1, 'eve'), (3, 'rydayeveryheart')]",False,False,3,rydayeveryheart
9.126,10.527,0,everydayeveryheart,"[(1, 'everydayeveryheart')]",False,False,3,everydayeveryheart
8.726,9.126,0,everydayeveryheart,"[(1, 'everydayevery'), (3, 'heart')]",False,False,3,heart
8.392,8.726,0,everydayeveryheart,"[(1, 'everydayeve'), (3, 'ryheart')]",False,False,3,ryheart
8.025,8.392,0,everydayeveryheart,"[(1, 'everyday'), (3, 'everyheart')]",False,False,3,everyheart
7.825,8.025,0,everydayeveryheart,"[(1, 'every'), (3, 'dayeveryheart')]",False,False,3,dayeveryheart
7.624,7.825,0,everydayeveryheart,"[(1, 'eve'), (3, 'rydayeveryheart')]",False,False,3,rydayeveryheart
9.126,10.527,-1,everydayeveryheart,"[(1, 'everydayeveryheart')]",False,False,3,everydayeveryheart
8.726,9.126,-1,everydayeveryheart,"[(1, 'everydayevery'), (3, 'heart')]",False,False,3,heart
8.392,8.726,-1,everydayeveryheart,"[(1, 'everydayeve'), (3, 'ryheart')]",False,False,3,ryheart
8.025,8.392,-1,everydayeveryheart,"[(1, 'everyday'), (3, 'everyheart')]",False,False,3,everyheart
7.825,8.025,-1,everydayeveryheart,"[(1, 'every'), (3, 'dayeveryheart')]",False,False,3,dayeveryheart
7.624,7.825,-1,everydayeveryheart,"[(1, 'eve'), (3, 'rydayeveryheart')]",False,True,3,rydayeveryheart
196.28,197.314,0,humanityclingstothepastandnostalgia,"[(1, 'humanityclingstothepastandnostalgia')]",True,False,3,humanityclingstothepastandnostalgia
196.079,196.28,0,humanityclingstothepastandnostalgia,"[(1, 'humanityclingstothepastandnostal'), (3, 'gia')]",False,False,3,gia
195.913,196.079,0,humanityclingstothepastandnostalgia,"[(1, 'humanityclingstothepastandnos'), (3, 'talgia')]",False,False,3,talgia
195.779,195.913,0,humanityclingstothepastandnostalgia,"[(1, 'humanityclingstothepastand'), (3, 'nostalgia')]",False,False,3,nostalgia
195.546,195.779,0,humanityclingstothepastandnostalgia,"[(1, 'humanityclingstothepast'), (3, 'andnostalgia')]",False,False,3,andnostalgia
195.445,195.546,0,humanityclingstothepastandnostalgia,"[(1, 'humanityclingstothe'), (3, 'pastandnostalgia')]",False,False,3,pastandnostalgia
195.312,195.445,0,humanityclingstothepastandnostalgia,"[(1, 'humanityclingsto'), (3, 'thepastandnostalgia')]",False,False,3,thepastandnostalgia
195.078,195.312,0,humanityclingstothepastandnostalgia,"[(1, 'humanityclings'), (3, 'tothepastandnostalgia')]",False,False,3,tothepastandnostalgia
194.845,195.078,0,humanityclingstothepastandnostalgia,"[(1, 'humanity'), (3, 'clingstothepastandnostalgia')]",False,False,3,clingstothepastandnostalgia
194.745,194.845,0,humanityclingstothepastandnostalgia,"[(1, 'humani'), (3, 'tyclingstothepastandnostalgia')]",False,False,3,tyclingstothepastandnostalgia
194.578,194.745,0,humanityclingstothepastandnostalgia,"[(1, 'human'), (3, 'ityclingstothepastandnostalgia')]",False,False,3,ityclingstothepastandnostalgia
194.478,194.578,0,humanityclingstothepastandnostalgia,"[(1, 'hu'), (3, 'manityclingstothepastandnostalgia')]",False,False,3,manityclingstothepastandnostalgia
196.28,197.314,-1,humanityclingstothepastandnostalgia,"[(1, 'humanityclingstothepastandnostalgia')]",False,False,3,humanityclingstothepastandnostalgia
196.079,196.28,-1,humanityclingstothepastandnostalgia,"[(1, 'humanityclingstothepastandnostal'), (3, 'gia')]",False,False,3,gia
195.913,196.079,-1,humanityclingstothepastandnostalgia,"[(1, 'humanityclingstothepastandnos'), (3, 'talgia')]",False,False,3,talgia
195.779,195.913,-1,humanityclingstothepastandnostalgia,"[(1, 'humanityclingstothepastand'), (3, 'nostalgia')]",False,False,3,nostalgia
195.546,195.779,-1,humanityclingstothepastandnostalgia,"[(1, 'humanityclingstothepast'), (3, 'andnostalgia')]",False,False,3,andnostalgia
195.445,195.546,-1,humanityclingstothepastandnostalgia,"[(1, 'humanityclingstothe'), (3, 'pastandnostalgia')]",False,False,3,pastandnostalgia
195.312,195.445,-1,humanityclingstothepastandnostalgia,"[(1, 'humanityclingsto'), (3, 'thepastandnostalgia')]",False,False,3,thepastandnostalgia
195.078,195.312,-1,humanityclingstothepastandnostalgia,"[(1, 'humanityclings'), (3, 'tothepastandnostalgia')]",False,False,3,tothepastandnostalgia
194.845,195.078,-1,humanityclingstothepastandnostalgia,"[(1, 'humanity'), (3, 'clingstothepastandnostalgia')]",False,False,3,clingstothepastandnostalgia
194.745,194.845,-1,humanityclingstothepastandnostalgia,"[(1, 'humani'), (3, 'tyclingstothepastandnostalgia')]",False,False,3,tyclingstothepastandnostalgia
194.578,194.745,-1,humanityclingstothepastandnostalgia,"[(1, 'human'), (3, 'ityclingstothepastandnostalgia')]",False,False,3,ityclingstothepastandnostalgia
194.478,194.578,-1,humanityclingstothepastandnostalgia,"[(1, 'hu'), (3, 'manityclingstothepastandnostalgia')]",False,True,3,manityclingstothepastandnostalgia
77.928,80.097,-1,illustrations:kätzchen,"[(1, 'illustrations:kätzchen')]",True,True,0,illustrations:kätzchen
193.61,194.478,0,lifeanddeathateverytick.,"[(1, 'lifeanddeathateverytick.')]",True,False,3,lifeanddeathateverytick.
193.377,193.61,0,lifeanddeathateverytick.,"[(1, 'lifeanddeathatevery'), (3, 'tick.')]",False,False,3,tick.
