start,end,line,unformatted,token
3.988,4.188,0,うたえさわげ,う
3.988,4.188,-1,歌え騒げ,え
4.188,4.388,0,うたえさわげ,た
4.188,4.388,-1,歌え騒げ,え
4.388,4.588,0,うたえさわげ,え
4.388,4.588,-1,歌え騒げ,え
4.588,4.822,0,うたえさわげ,さ
4.588,4.822,-1,歌え騒げ,騒
4.822,5.022,0,うたえさわげ,わ
4.822,5.022,0,うたえさわげ,わ
4.822,5.022,-1,歌え騒げ,騒
5.022,5.222,0,うたえさわげ,わ
5.022,5.222,0,うたえさわげ,わげ
5.022,5.222,-1,歌え騒げ,げ
5.222,5.422,0,うたげはつづく,う
5.222,5.422,-1,宴は続く,は
5.422,5.622,0,うたげはつづく,た
5.422,5.622,-1,宴は続く,は
5.622,5.823,0,うたげはつづく,げ
5.622,5.823,-1,宴は続く,は
5.823,6.056,0,うたげはつづく,は
5.823,6.056,-1,宴は続く,は
6.056,6.256,0,うたげはつづく,つ
6.056,6.256,-1,宴は続く,続
6.256,6.457,0,うたげはつづく,づ
6.256,6.457,-1,宴は続く,続
6.457,6.89,0,うたげはつづく,く
6.457,6.89,-1,宴は続く,く
6.89,7.057,0,まえおにけもだんす,ま
6.89,7.057,-1,舞え　おにけもだんす,舞
7.057,7.291,0,まえおにけもだんす,え
7.057,7.291,-1,舞え　おにけもだんす,え
7.291,7.491,0,まえおにけもだんす,え
7.291,7.491,-1,舞え　おにけもだんす,　
7.491,7.825,0,まえおにけもだんす,お
7.491,7.825,-1,舞え　おにけもだんす,お
7.825,7.992,0,まえおにけもだんす,に
7.825,7.992,-1,舞え　おにけもだんす,に
7.992,8.125,0,まえおにけもだんす,け
7.992,8.125,-1,舞え　おにけもだんす,け
8.125,8.258,0,まえおにけもだんす,も
8.125,8.258,-1,舞え　おにけもだんす,も
8.258,8.559,0,まえおにけもだんす,だ
8.258,8.559,0,まえおにけもだんす,だんす
8.258,8.559,-1,舞え　おにけもだんす,だ
8.258,8.559,-1,舞え　おにけもだんす,だんす
8.559,8.892,85,破っ！,破っ！
8.892,16.166,7,おにけもだんす,おにけもだんす
8.892,10.094,85,作詞:pandaboy,作詞:pandaboy
8.892,10.094,85,作詞:pandaboy,作詞:pandaboy
10.094,10.394,0,よっよっよっよっ,よっ
10.094,10.394,-1,余っ余っ余っ余っ,余っ
10.094,11.328,85,唄:百鬼あやめ,唄:百鬼あやめ
10.394,10.661,0,よっよっよっよっ,よっ
10.394,10.661,-1,余っ余っ余っ余っ,余っ
10.661,10.961,0,よっよっよっよっ,よっ
10.661,10.961,-1,余っ余っ余っ余っ,余っ
10.961,11.328,0,よっよっよっよっ,よっ
10.961,11.328,-1,余っ余っ余っ余っ,余っ
11.328,12.529,85,作曲:pandaboy,作曲:pandaboy
11.328,12.529,85,作曲:pandaboy,作曲:pandaboy
12.529,12.83,0,こんっこんっこんっこんっ,こんっ
12.529,12.83,-1,コンッコンッコンッコンッ,コンッ
12.529,13.764,85,唄:白上フブキ,唄:白上フブキ
12.83,13.13,0,こんっこんっこんっこんっ,こんっ
12.83,13.13,-1,コンッコンッコンッコンッ,コンッ
13.13,13.43,0,こんっこんっこんっこんっ,こんっ
13.13,13.43,-1,コンッコンッコンッコンッ,コンッ
13.43,13.764,0,こんっこんっこんっこんっ,こんっ
13.43,13.764,-1,コンッコンッコンッコンッ,コンッ
13.764,14.965,85,編曲:pandaboy,編曲:pandaboy
13.764,14.965,85,編曲:pandaboy,編曲:pandaboy
14.965,15.265,0,みぉんっみぉんっみぉんっみぉんっ,みぉんっ
14.965,15.265,-1,みぉんっみぉんっみぉんっみぉんっ,みぉんっ
14.965,16.166,85,唄:大神ミオ,唄:大神ミオ
15.265,15.566,0,みぉんっみぉんっみぉんっみぉんっ,みぉんっ
15.265,15.566,-1,みぉんっみぉんっみぉんっみぉんっ,みぉんっ
15.566,15.899,0,みぉんっみぉんっみぉんっみぉんっ,みぉんっ
15.566,15.899,-1,みぉんっみぉんっみぉんっみぉんっ,みぉんっ
15.899,16.166,0,みぉんっみぉんっみぉんっみぉんっ,みぉんっ
15.899,16.166,-1,みぉんっみぉんっみぉんっみぉんっ,みぉんっ
16.166,16.333,0,おにきつねいぬじんじゃー！,お
16.166,16.333,-1,鬼　狐　犬　神社ー！,鬼
16.333,16.467,0,おにきつねいぬじんじゃー！,に
16.333,16.467,-1,鬼　狐　犬　神社ー！,　
16.467,16.633,0,おにきつねいぬじんじゃー！,き
16.467,16.633,-1,鬼　狐　犬　神社ー！,狐
16.633,16.767,0,おにきつねいぬじんじゃー！,つ
16.633,16.767,-1,鬼　狐　犬　神社ー！,狐
16.767,16.934,0,おにきつねいぬじんじゃー！,ね
16.767,16.934,-1,鬼　狐　犬　神社ー！,　
16.934,17.101,0,おにきつねいぬじんじゃー！,い
16.934,17.101,-1,鬼　狐　犬　神社ー！,犬
17.101,17.701,0,おにきつねいぬじんじゃー！,ぬ
17.101,17.701,-1,鬼　狐　犬　神社ー！,　
17.701,17.835,0,おにきつねいぬじんじゃー！,じ
17.701,17.835,-1,鬼　狐　犬　神社ー！,神
17.835,18.002,0,おにきつねいぬじんじゃー！,ん
17.835,18.002,0,おにきつねいぬじんじゃー！,ん
17.835,18.002,-1,鬼　狐　犬　神社ー！,神
18.002,18.168,0,おにきつねいぬじんじゃー！,ん
18.002,18.168,0,おにきつねいぬじんじゃー！,んじゃ
18.002,18.168,-1,鬼　狐　犬　神社ー！,社
18.002,18.168,-1,鬼　狐　犬　神社ー！,社
18.168,18.635,0,おにきつねいぬじんじゃー！,ん
18.168,18.635,0,おにきつねいぬじんじゃー！,んー！
18.168,18.635,-1,鬼　狐　犬　神社ー！,社
18.168,18.635,-1,鬼　狐　犬　神社ー！,社ー！
18.635,18.936,0,ひふみでしちへんげ,ひ
18.635,18.936,-1,一二三で七変化,一
18.936,19.236,0,ひふみでしちへんげ,ふ
18.936,19.236,-1,一二三で七変化,二
19.236,19.536,0,ひふみでしちへんげ,み
19.236,19.536,-1,一二三で七変化,三
19.536,19.837,0,ひふみでしちへんげ,で
19.536,19.837,-1,一二三で七変化,で
19.837,19.97,0,ひふみでしちへんげ,し
19.837,19.97,-1,一二三で七変化,七
19.97,20.17,0,ひふみでしちへんげ,ち
19.97,20.17,-1,一二三で七変化,七
20.17,20.304,0,ひふみでしちへんげ,へ
20.17,20.304,-1,一二三で七変化,変
20.304,20.471,0,ひふみでしちへんげ,ん
20.304,20.471,-1,一二三で七変化,変
20.471,21.205,0,ひふみでしちへんげ,げ
20.471,21.205,-1,一二三で七変化,化
21.205,21.338,0,こよいもつどえインターネット,こ
21.205,21.338,-1,今宵も集え　電気通信網,今
21.338,21.505,0,こよいもつどえインターネット,よ
21.338,21.505,-1,今宵も集え　電気通信網,宵
21.505,21.672,0,こよいもつどえインターネット,い
21.505,21.672,-1,今宵も集え　電気通信網,宵
21.672,21.805,0,こよいもつどえインターネット,も
21.672,21.805,-1,今宵も集え　電気通信網,も
21.805,21.972,0,こよいもつどえインターネット,つ
21.805,21.972,-1,今宵も集え　電気通信網,集
21.972,22.106,0,こよいもつどえインターネット,ど
21.972,22.106,-1,今宵も集え　電気通信網,集
22.106,22.272,0,こよいもつどえインターネット,え
22.106,22.272,-1,今宵も集え　電気通信網,え　
22.272,22.406,0,こよいもつどえインターネット,イ
22.272,22.406,-1,今宵も集え　電気通信網,電
22.406,22.573,0,こよいもつどえインターネット,ン
22.406,22.573,-1,今宵も集え　電気通信網,気
22.573,22.706,0,こよいもつどえインターネット,タ
22.573,22.706,-1,今宵も集え　電気通信網,通
22.706,22.873,0,こよいもつどえインターネット,ー
22.706,22.873,-1,今宵も集え　電気通信網,通
22.873,23.04,0,こよいもつどえインターネット,ネ
22.873,23.04,-1,今宵も集え　電気通信網,信
23.04,23.173,0,こよいもつどえインターネット,ッ
23.04,23.173,-1,今宵も集え　電気通信網,信
23.173,23.507,0,こよいもつどえインターネット,ト
23.173,23.507,-1,今宵も集え　電気通信網,網
23.507,23.807,0,おしごとにさちあれ,お
23.507,23.807,-1,推し事に幸あれ,推
23.807,24.108,0,おしごとにさちあれ,し
23.807,24.108,-1,推し事に幸あれ,し
24.108,24.408,0,おしごとにさちあれ,ご
24.108,24.408,-1,推し事に幸あれ,事
24.408,24.575,0,おしごとにさちあれ,と
24.408,24.575,-1,推し事に幸あれ,事
24.575,24.875,0,おしごとにさちあれ,に
24.575,24.875,-1,推し事に幸あれ,に
24.875,25.009,0,おしごとにさちあれ,さ
24.875,25.009,-1,推し事に幸あれ,幸
25.009,25.175,0,おしごとにさちあれ,ち
25.009,25.175,-1,推し事に幸あれ,幸
25.175,25.342,0,おしごとにさちあれ,あ
25.175,25.342,-1,推し事に幸あれ,あ
25.342,26.076,0,おしごとにさちあれ,れ
25.342,26.076,-1,推し事に幸あれ,れ
26.076,26.243,0,ここはまるでとうげんきょう,こ
26.076,26.243,-1,此処はまるで桃源郷,此
26.243,26.343,0,ここはまるでとうげんきょう,こ
26.243,26.343,-1,此処はまるで桃源郷,処
26.343,26.543,0,ここはまるでとうげんきょう,は
26.343,26.543,-1,此処はまるで桃源郷,は
26.543,26.677,0,ここはまるでとうげんきょう,ま
26.543,26.677,-1,此処はまるで桃源郷,ま
26.677,26.844,0,ここはまるでとうげんきょう,る
26.677,26.844,-1,此処はまるで桃源郷,る
26.844,27.144,0,ここはまるでとうげんきょう,で
26.844,27.144,-1,此処はまるで桃源郷,で
27.144,27.277,0,ここはまるでとうげんきょう,と
27.144,27.277,-1,此処はまるで桃源郷,桃
27.277,27.444,0,ここはまるでとうげんきょう,う
27.277,27.444,-1,此処はまるで桃源郷,桃
27.444,27.578,0,ここはまるでとうげんきょう,げ
27.444,27.578,-1,此処はまるで桃源郷,源
27.578,27.745,0,ここはまるでとうげんきょう,ん
27.578,27.745,-1,此処はまるで桃源郷,源
27.745,27.878,0,ここはまるでとうげんきょう,きょ
27.745,28.379,-1,此処はまるで桃源郷,郷
27.878,28.379,0,ここはまるでとうげんきょう,う
28.379,28.512,-1,いっせーので　よいっよいっよいっ,い
28.379,28.512,0,いっせーのでよいっよいっよいっ,い
28.512,28.679,-1,いっせーので　よいっよいっよいっ,っ
28.512,28.679,0,いっせーのでよいっよいっよいっ,っ
28.679,28.846,-1,いっせーので　よいっよいっよいっ,せ
28.679,28.846,0,いっせーのでよいっよいっよいっ,せ
28.846,28.979,-1,いっせーので　よいっよいっよいっ,ー
28.846,28.979,0,いっせーのでよいっよいっよいっ,ー
28.979,29.446,-1,いっせーので　よいっよいっよいっ,の
28.979,29.446,0,いっせーのでよいっよいっよいっ,の
29.446,29.613,-1,いっせーので　よいっよいっよいっ,で　
29.446,29.613,0,いっせーのでよいっよいっよいっ,で
29.613,29.747,-1,いっせーので　よいっよいっよいっ,よ
29.613,29.747,0,いっせーのでよいっよいっよいっ,よ
29.747,29.913,-1,いっせーので　よいっよいっよいっ,いっ
29.747,29.913,0,いっせーのでよいっよいっよいっ,いっ
29.913,30.047,-1,いっせーので　よいっよいっよいっ,よ
29.913,30.047,0,いっせーのでよいっよいっよいっ,よ
30.047,30.214,-1,いっせーので　よいっよいっよいっ,いっ
30.047,30.214,0,いっせーのでよいっよいっよいっ,いっ
30.214,30.347,-1,いっせーので　よいっよいっよいっ,よ
30.214,30.347,0,いっせーのでよいっよいっよいっ,よ
30.347,30.948,-1,いっせーので　よいっよいっよいっ,いっ
30.347,30.948,0,いっせーのでよいっよいっよいっ,いっ
30.948,31.115,0,うきよにかくれつのひかる,う
30.948,31.115,-1,浮世に隠れツノ光る,世
31.115,31.248,0,うきよにかくれつのひかる,き
31.115,31.248,-1,浮世に隠れツノ光る,世
31.248,31.415,0,うきよにかくれつのひかる,よ
31.248,31.415,-1,浮世に隠れツノ光る,世
31.415,31.548,0,うきよにかくれつのひかる,に
31.415,31.548,-1,浮世に隠れツノ光る,に
31.548,31.715,0,うきよにかくれつのひかる,か
31.548,31.715,-1,浮世に隠れツノ光る,隠
31.715,31.849,0,うきよにかくれつのひかる,く
31.715,31.849,-1,浮世に隠れツノ光る,隠
31.849,32.016,0,うきよにかくれつのひかる,れ
31.849,32.016,-1,浮世に隠れツノ光る,れ
32.016,32.182,0,うきよにかくれつのひかる,つ
32.016,32.182,-1,浮世に隠れツノ光る,ツ
32.182,32.316,0,うきよにかくれつのひかる,の
32.182,32.316,-1,浮世に隠れツノ光る,ノ
32.316,32.483,0,うきよにかくれつのひかる,ひ
32.316,32.483,-1,浮世に隠れツノ光る,光
32.483,32.616,0,うきよにかくれつのひかる,か
