start,end,token,line,unformatted
0.718,2.219,作詞・作曲:yunomi,-1,作詞・作曲:yunomi
0.718,12.696,宝鐘マリン-unison,0,宝鐘マリン-unison
2.219,3.721,【作画】てあせよは,-1,【作画】てあせよは
3.721,5.222,【作画】ほうじ茶take,-1,【作画】ほうじ茶take
5.222,6.724,【作画】こうの伊礼えり,-1,【作画】こうの伊礼えり
6.724,8.225,背景協力:葭原壮平,-1,背景協力:葭原壮平
8.225,9.727,映像編集:鬼灯わらべ,-1,映像編集:鬼灯わらべ
9.727,11.195,コンテと色弄り:てあせ,-1,コンテと色弄り:てあせ
11.195,12.696,歌:宝鐘マリン,-1,歌:宝鐘マリン
12.696,13.263,か,0,かたすぎたのかな、びんが
12.696,13.263,す,-1,硬すぎたのかな、ビンが
13.263,13.664,た,0,かたすぎたのかな、びんが
13.263,13.664,す,-1,硬すぎたのかな、ビンが
13.664,13.831,す,0,かたすぎたのかな、びんが
13.664,13.831,す,-1,硬すぎたのかな、ビンが
13.831,14.398,ぎ,0,かたすぎたのかな、びんが
13.831,14.398,ぎ,-1,硬すぎたのかな、ビンが
14.398,14.765,た,0,かたすぎたのかな、びんが
14.398,14.765,た,-1,硬すぎたのかな、ビンが
14.765,14.965,の,0,かたすぎたのかな、びんが
14.765,14.965,の,-1,硬すぎたのかな、ビンが
14.965,15.332,か,0,かたすぎたのかな、びんが
14.965,15.332,か,-1,硬すぎたのかな、ビンが
15.332,15.532,な、,0,かたすぎたのかな、びんが
15.332,15.532,な、,-1,硬すぎたのかな、ビンが
15.532,15.699,び,0,かたすぎたのかな、びんが
15.532,15.699,ビ,-1,硬すぎたのかな、ビンが
15.699,15.899,ん,0,かたすぎたのかな、びんが
15.699,15.899,ン,-1,硬すぎたのかな、ビンが
15.899,16.066,が,0,かたすぎたのかな、びんが
15.899,16.066,が,-1,硬すぎたのかな、ビンが
16.066,16.266,あ,0,あるいはせんしゅだけやわいか
16.066,16.266,あ,-1,あるいは船首だけ柔いか
16.266,16.467,る,0,あるいはせんしゅだけやわいか
16.266,16.467,る,-1,あるいは船首だけ柔いか
16.467,16.834,い,0,あるいはせんしゅだけやわいか
16.467,16.834,い,-1,あるいは船首だけ柔いか
16.834,17.401,は,0,あるいはせんしゅだけやわいか
16.834,17.401,は,-1,あるいは船首だけ柔いか
17.401,17.568,せ,0,あるいはせんしゅだけやわいか
17.401,17.568,船,-1,あるいは船首だけ柔いか
17.568,17.768,ん,0,あるいはせんしゅだけやわいか
17.568,17.768,船,-1,あるいは船首だけ柔いか
17.768,17.935,しゅ,0,あるいはせんしゅだけやわいか
17.768,17.935,首,-1,あるいは船首だけ柔いか
17.935,18.335,だ,0,あるいはせんしゅだけやわいか
17.935,18.335,だ,-1,あるいは船首だけ柔いか
18.335,18.502,け,0,あるいはせんしゅだけやわいか
18.335,18.502,け,-1,あるいは船首だけ柔いか
18.502,18.902,や,0,あるいはせんしゅだけやわいか
18.502,18.902,柔,-1,あるいは船首だけ柔いか
18.902,19.069,わ,0,あるいはせんしゅだけやわいか
18.902,19.069,柔,-1,あるいは船首だけ柔いか
19.069,19.436,い,0,あるいはせんしゅだけやわいか
19.069,19.436,い,-1,あるいは船首だけ柔いか
19.436,19.837,か,0,あるいはせんしゅだけやわいか
19.436,19.837,か,-1,あるいは船首だけ柔いか
19.837,20.037,え,0,えんめいしたあかわいんはえんえん、なみのうえ
19.837,20.037,命,-1,延命した赤ワインは延々、波の上
20.037,20.404,ん,0,えんめいしたあかわいんはえんえん、なみのうえ
20.037,20.404,命,-1,延命した赤ワインは延々、波の上
20.404,20.604,め,0,えんめいしたあかわいんはえんえん、なみのうえ
20.404,20.604,命,-1,延命した赤ワインは延々、波の上
20.604,20.771,い,0,えんめいしたあかわいんはえんえん、なみのうえ
20.604,20.771,命,-1,延命した赤ワインは延々、波の上
20.771,20.971,し,0,えんめいしたあかわいんはえんえん、なみのうえ
20.771,20.971,し,-1,延命した赤ワインは延々、波の上
20.971,21.138,た,0,えんめいしたあかわいんはえんえん、なみのうえ
20.971,21.138,た,-1,延命した赤ワインは延々、波の上
21.138,21.505,あ,0,えんめいしたあかわいんはえんえん、なみのうえ
21.138,21.505,赤,-1,延命した赤ワインは延々、波の上
21.505,21.905,か,0,えんめいしたあかわいんはえんえん、なみのうえ
21.505,21.905,赤,-1,延命した赤ワインは延々、波の上
21.905,22.072,わ,0,えんめいしたあかわいんはえんえん、なみのうえ
21.905,22.072,ワ,-1,延命した赤ワインは延々、波の上
22.072,22.272,い,0,えんめいしたあかわいんはえんえん、なみのうえ
22.072,22.272,イ,-1,延命した赤ワインは延々、波の上
22.272,22.473,ん,0,えんめいしたあかわいんはえんえん、なみのうえ
22.272,22.473,ン,-1,延命した赤ワインは延々、波の上
22.473,22.84,は,0,えんめいしたあかわいんはえんえん、なみのうえ
22.473,22.84,は,-1,延命した赤ワインは延々、波の上
22.84,23.04,え,0,えんめいしたあかわいんはえんえん、なみのうえ
22.84,23.04,延,-1,延命した赤ワインは延々、波の上
23.04,23.407,ん,0,えんめいしたあかわいんはえんえん、なみのうえ
23.04,23.407,延,-1,延命した赤ワインは延々、波の上
23.407,23.574,え,0,えんめいしたあかわいんはえんえん、なみのうえ
23.407,23.574,々、,-1,延命した赤ワインは延々、波の上
23.574,23.774,ん、,0,えんめいしたあかわいんはえんえん、なみのうえ
23.574,23.774,々、,-1,延命した赤ワインは延々、波の上
23.774,23.974,な,0,えんめいしたあかわいんはえんえん、なみのうえ
23.774,23.974,波,-1,延命した赤ワインは延々、波の上
23.974,24.341,み,0,えんめいしたあかわいんはえんえん、なみのうえ
23.974,24.341,波,-1,延命した赤ワインは延々、波の上
24.341,24.508,の,0,えんめいしたあかわいんはえんえん、なみのうえ
24.341,24.508,の,-1,延命した赤ワインは延々、波の上
24.508,24.575,う,0,えんめいしたあかわいんはえんえん、なみのうえ
24.508,24.908,上,-1,延命した赤ワインは延々、波の上
24.575,24.908,え,0,えんめいしたあかわいんはえんえん、なみのうえ
24.908,25.109,ひ,0,ひろい、のむのはちゅうどくかんじゃ
24.908,25.109,い、,-1,拾い、飲むのは中毒患者
25.109,25.342,ろ,0,ひろい、のむのはちゅうどくかんじゃ
25.109,25.342,い、,-1,拾い、飲むのは中毒患者
25.342,25.476,い、,0,ひろい、のむのはちゅうどくかんじゃ
25.342,25.476,い、,-1,拾い、飲むのは中毒患者
25.476,25.709,の,0,ひろい、のむのはちゅうどくかんじゃ
25.476,25.709,飲,-1,拾い、飲むのは中毒患者
25.709,25.843,む,0,ひろい、のむのはちゅうどくかんじゃ
25.709,25.843,む,-1,拾い、飲むのは中毒患者
25.843,26.043,の,0,ひろい、のむのはちゅうどくかんじゃ
25.843,26.043,の,-1,拾い、飲むのは中毒患者
26.043,26.21,は,0,ひろい、のむのはちゅうどくかんじゃ
26.043,26.21,は,-1,拾い、飲むのは中毒患者
26.21,26.477,ちゅ,0,ひろい、のむのはちゅうどくかんじゃ
26.21,26.477,中,-1,拾い、飲むのは中毒患者
26.477,26.577,う,0,ひろい、のむのはちゅうどくかんじゃ
26.477,26.577,中,-1,拾い、飲むのは中毒患者
26.577,26.844,ど,0,ひろい、のむのはちゅうどくかんじゃ
26.577,26.844,毒,-1,拾い、飲むのは中毒患者
26.844,26.977,く,0,ひろい、のむのはちゅうどくかんじゃ
26.844,26.977,毒,-1,拾い、飲むのは中毒患者
26.977,27.244,か,0,ひろい、のむのはちゅうどくかんじゃ
26.977,27.244,患,-1,拾い、飲むのは中毒患者
27.244,27.344,ん,0,ひろい、のむのはちゅうどくかんじゃ
27.244,27.344,患,-1,拾い、飲むのは中毒患者
27.344,27.611,じゃ,0,ひろい、のむのはちゅうどくかんじゃ
27.344,27.611,者,-1,拾い、飲むのは中毒患者
27.611,27.711,ひ,0,ひろいそらなのにきみょうなよかんだ
27.611,27.711,い,-1,広い空なのに奇妙な予感だ
27.711,27.911,ろ,0,ひろいそらなのにきみょうなよかんだ
27.711,27.911,い,-1,広い空なのに奇妙な予感だ
27.911,28.078,い,0,ひろいそらなのにきみょうなよかんだ
27.911,28.078,い,-1,広い空なのに奇妙な予感だ
28.078,28.278,そ,0,ひろいそらなのにきみょうなよかんだ
28.078,28.278,空,-1,広い空なのに奇妙な予感だ
28.278,28.479,ら,0,ひろいそらなのにきみょうなよかんだ
28.278,28.479,空,-1,広い空なのに奇妙な予感だ
28.479,28.712,な,0,ひろいそらなのにきみょうなよかんだ
28.479,28.712,な,-1,広い空なのに奇妙な予感だ
28.712,28.846,の,0,ひろいそらなのにきみょうなよかんだ
28.712,28.846,の,-1,広い空なのに奇妙な予感だ
28.846,29.113,に,0,ひろいそらなのにきみょうなよかんだ
28.846,29.113,に,-1,広い空なのに奇妙な予感だ
29.113,29.213,き,0,ひろいそらなのにきみょうなよかんだ
29.113,29.213,奇,-1,広い空なのに奇妙な予感だ
29.213,29.513,みょ,0,ひろいそらなのにきみょうなよかんだ
29.213,29.513,妙,-1,広い空なのに奇妙な予感だ
29.513,29.613,う,0,ひろいそらなのにきみょうなよかんだ
29.513,29.613,妙,-1,広い空なのに奇妙な予感だ
29.613,29.88,な,0,ひろいそらなのにきみょうなよかんだ
29.613,29.88,な,-1,広い空なのに奇妙な予感だ
29.88,29.98,よ,0,ひろいそらなのにきみょうなよかんだ
29.88,29.98,予,-1,広い空なのに奇妙な予感だ
29.98,30.28,か,0,ひろいそらなのにきみょうなよかんだ
29.98,30.28,感,-1,広い空なのに奇妙な予感だ
30.28,30.347,ん,0,ひろいそらなのにきみょうなよかんだ
30.28,30.347,感,-1,広い空なのに奇妙な予感だ
