start,end,line,token
84.201,86.97,-1,illustration:さくら兎れみmix:yoshikenmovie:kumashirotarm
78.195,81.198,-1,originalsong:syudou
81.198,84.201,-1,vocals:ceresfauna
54.738,55.139,0,だい
54.571,54.738,0,ちょう
54.438,54.571,0,を
54.204,54.438,0,しん
54.104,54.204,0,く
53.971,54.104,0,か
53.437,53.971,0,で
53.27,53.437,0,い
53.07,53.27,0,な
52.936,53.07,0,て
52.703,52.936,0,し
52.569,52.703,0,く
52.469,52.569,0,か
52.269,52.469,0,あ
52.102,52.269,0,あ
74.992,75.392,0,さ
74.792,74.992,0,の
74.625,74.792,0,う
74.425,74.625,0,ま
74.224,74.425,0,ち
74.024,74.224,0,し
73.857,74.024,0,い
73.69,73.857,0,あ
73.524,73.69,0,ど
73.323,73.524,0,れ
73.09,73.323,0,さ
72.022,73.09,0,さ
71.822,72.022,0,の
71.622,71.822,0,う
71.422,71.622,0,ま
71.255,71.422,0,ち
71.055,71.255,0,し
70.888,71.055,0,い
70.687,70.888,0,あ
127.478,127.811,0,さ
127.277,127.478,0,の
127.111,127.277,0,ん
126.944,127.111,0,い
126.777,126.944,0,て
126.543,126.777,0,し
126.343,126.543,0,い
126.176,126.343,0,あ
126.009,126.176,0,く
125.809,126.009,0,よ
125.642,125.809,0,つ
124.508,125.642,0,さ
124.274,124.508,0,の
124.108,124.274,0,ん
123.941,124.108,0,い
123.74,123.941,0,て
123.574,123.74,0,し
123.373,123.574,0,い
123.14,123.373,0,あ
32.983,33.384,0,さ
32.783,32.983,0,の
32.616,32.783,0,ん
32.449,32.616,0,い
32.249,32.449,0,て
32.049,32.249,0,し
31.849,32.049,0,い
31.682,31.849,0,あ
31.482,31.682,0,く
31.315,31.482,0,よ
31.115,31.315,0,つ
30.014,31.115,0,さ
29.78,30.014,0,の
29.613,29.78,0,ん
29.38,29.613,0,い
29.246,29.38,0,て
29.046,29.246,0,し
28.879,29.046,0,い
28.679,28.879,0,あ
6.957,7.291,0,の？
6.757,6.957,0,い
6.557,6.757,0,な
6.29,6.557,0,ら
6.19,6.29,0,し
5.99,6.19,0,を
5.756,5.99,0,と
5.622,5.756,0,こ
5.522,5.622,0,る
5.456,5.522,0,い
5.089,5.456,0,て
4.855,5.089,0,え
4.688,4.855,0,み
4.588,4.688,0,は
4.521,4.588,0,し
4.455,4.521,0,た
4.321,4.455,0,あ
90.007,90.174,0,ー
89.84,90.007,0,じ
89.64,89.84,0,れ
89.44,89.64,0,え
89.239,89.44,0,な
89.073,89.239,0,ぷ
88.672,89.073,0,ぽっ
88.505,88.672,0,に
88.338,88.505,0,ど
88.105,88.338,0,ほ
87.938,88.105,0,う
87.805,87.938,0,ら
87.538,87.805,0,く
87.337,87.538,0,を
87.171,87.337,0,こ
86.97,87.171,0,か
45.929,46.33,0,の
45.763,45.929,0,い
45.562,45.763,0,な
45.329,45.562,0,ま
45.195,45.329,0,す
44.928,45.195,0,が
44.795,44.928,0,き
44.695,44.795,0,と
