start,end,line,unformatted,remainder,prev_remainder,prev_unformatted,token
8.359,11.028,-1,animation:harutandhira,animation:harutandhira,,,animation:harutandhira
3.053,5.723,-1,composerandarranger:東京テラス,composerandarranger:東京テラス,animation:harutandhira,animation:harutandhira,composerandarranger:東京テラス
5.723,8.359,-1,illustration:furaisen,illustration:furaisen,composerandarranger:東京テラス,composerandarranger:東京テラス,illustration:furaisen
0.351,3.053,-1,lyric:moonahoshinova平出健祐奥村アキラ,lyric:moonahoshinova平出健祐奥村アキラ,illustration:furaisen,illustration:furaisen,lyric:moonahoshinova平出健祐奥村アキラ
0.351,13.697,0,moonahoshinova-愛の小さな歌,moonahoshinova-愛の小さな歌,lyric:moonahoshinova平出健祐奥村アキラ,lyric:moonahoshinova平出健祐奥村アキラ,moonahoshinova-愛の小さな歌
11.028,13.697,-1,vocal:moonahoshinova,vocal:moonahoshinova,moonahoshinova-愛の小さな歌,moonahoshinova-愛の小さな歌,vocal:moonahoshinova
250.867,252.336,0,あいしていますほねがとけそうなほど,ど,vocal:moonahoshinova,vocal:moonahoshinova,ど
250.667,250.867,0,あいしていますほねがとけそうなほど,ほど,ど,あいしていますほねがとけそうなほど,ほ
250.367,250.667,0,あいしていますほねがとけそうなほど,なほど,ほど,あいしていますほねがとけそうなほど,な
249.666,250.367,0,あいしていますほねがとけそうなほど,うなほど,なほど,あいしていますほねがとけそうなほど,う
248.365,249.666,0,あいしていますほねがとけそうなほど,そうなほど,うなほど,あいしていますほねがとけそうなほど,そ
247.998,248.365,0,あいしていますほねがとけそうなほど,けそうなほど,そうなほど,あいしていますほねがとけそうなほど,け
247.531,247.998,0,あいしていますほねがとけそうなほど,とけそうなほど,けそうなほど,あいしていますほねがとけそうなほど,と
247.064,247.531,0,あいしていますほねがとけそうなほど,がとけそうなほど,とけそうなほど,あいしていますほねがとけそうなほど,が
246.897,247.064,0,あいしていますほねがとけそうなほど,ねがとけそうなほど,がとけそうなほど,あいしていますほねがとけそうなほど,ね
246.73,246.897,0,あいしていますほねがとけそうなほど,ほねがとけそうなほど,ねがとけそうなほど,あいしていますほねがとけそうなほど,ほ
245.395,246.73,0,あいしていますほねがとけそうなほど,すほねがとけそうなほど,ほねがとけそうなほど,あいしていますほねがとけそうなほど,す
245.028,245.395,0,あいしていますほねがとけそうなほど,ますほねがとけそうなほど,すほねがとけそうなほど,あいしていますほねがとけそうなほど,ま
243.026,245.028,0,あいしていますほねがとけそうなほど,いますほねがとけそうなほど,ますほねがとけそうなほど,あいしていますほねがとけそうなほど,い
242.659,243.026,0,あいしていますほねがとけそうなほど,ていますほねがとけそうなほど,いますほねがとけそうなほど,あいしていますほねがとけそうなほど,て
242.159,242.659,0,あいしていますほねがとけそうなほど,していますほねがとけそうなほど,ていますほねがとけそうなほど,あいしていますほねがとけそうなほど,し
241.692,242.159,0,あいしていますほねがとけそうなほど,いしていますほねがとけそうなほど,していますほねがとけそうなほど,あいしていますほねがとけそうなほど,い
241.325,241.692,0,あいしていますほねがとけそうなほど,あいしていますほねがとけそうなほど,いしていますほねがとけそうなほど,あいしていますほねがとけそうなほど,あ
272.99,276.026,0,あいのちいさなうたは,は,あいしていますほねがとけそうなほど,あいしていますほねがとけそうなほど,は
