Character,File Numbers
作,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 26, 28, 29, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 47, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 61, 64, 66, 68, 70, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 91, 92}"
詞,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 23, 28, 29, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 61, 64, 66, 68, 70, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 91, 92}"
曲,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 23, 28, 29, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 64, 66, 68, 70, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 91, 92}"
宝,"{0, 21, 32, 41, 45, 79, 82, 85, 86, 88}"
鐘,"{0, 17, 21, 41, 57, 62, 79, 82, 85, 90}"
画,"{0, 11, 12, 13, 14, 38, 46, 50, 68, 72, 73, 83, 92}"
茶,{0}
伊,"{0, 21, 41}"
礼,"{0, 39, 54, 58, 64}"
背,"{0, 17, 25, 26, 38, 48, 56, 57, 89, 90}"
景,"{0, 4, 8, 10, 11, 33, 47, 48, 50, 81}"
協,"{0, 49}"
力,"{0, 7, 21, 39, 44, 49, 58, 64, 68, 82, 85}"
葭,{0}
原,"{0, 1, 17, 40, 41, 92}"
壮,{0}
平,"{0, 7, 13, 21, 45, 52, 55, 79, 91}"
映,"{0, 5, 8, 16, 22, 29, 43, 45, 48, 63, 72, 73, 87, 91}"
像,"{0, 8, 16, 24, 29, 33, 48, 54, 56, 75, 85, 91}"
編,"{0, 2, 3, 5, 7, 8, 9, 10, 12, 14, 16, 18, 22, 23, 28, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 48, 51, 52, 53, 54, 57, 61, 66, 68, 70, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 91, 92}"
集,"{0, 12, 16, 32, 33, 36, 38, 41, 51, 76}"
鬼,"{0, 33, 34, 35, 36, 78, 80, 82}"
灯,"{0, 8, 34, 35, 48, 76}"
色,"{0, 2, 4, 5, 8, 9, 10, 11, 16, 17, 35, 37, 38, 47, 48, 50, 51, 55, 59, 60, 63, 72, 79, 81, 82}"
弄,{0}
