Character,File Numbers
・,"{0, 3, 11, 12, 13, 14, 15, 17, 18, 19, 21, 26, 27, 29, 30, 33, 34, 36, 37, 38, 39, 40, 42, 46, 49, 50, 51, 53, 54, 56, 57, 58, 59, 60, 61, 64, 67, 68, 69, 70, 74, 76, 77, 78, 79, 80, 81, 82, 83, 87, 91, 92}"
マ,"{0, 1, 2, 3, 16, 18, 19, 21, 26, 27, 28, 29, 39, 40, 41, 42, 44, 46, 50, 51, 52, 54, 57, 58, 59, 64, 68, 79, 82, 85, 86, 87, 90, 92}"
リ,"{0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20, 21, 25, 26, 27, 30, 33, 39, 40, 41, 42, 46, 50, 51, 52, 54, 56, 58, 59, 60, 62, 64, 68, 69, 73, 75, 76, 77, 79, 82, 83, 84, 85, 91, 92}"
ン,"{0, 1, 2, 3, 4, 5, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 25, 26, 27, 28, 29, 30, 31, 33, 36, 38, 40, 41, 42, 43, 44, 46, 48, 49, 50, 51, 54, 56, 57, 59, 60, 62, 64, 66, 67, 68, 69, 70, 73, 75, 76, 77, 78, 79, 81, 82, 83, 84, 85, 87, 89, 90, 92}"
コ,"{0, 1, 10, 12, 14, 16, 17, 19, 21, 29, 30, 32, 33, 36, 38, 40, 42, 44, 46, 49, 51, 54, 57, 59, 62, 66, 69, 74, 75, 77, 84, 87, 90, 92}"
テ,"{0, 1, 2, 12, 14, 15, 16, 19, 33, 38, 39, 42, 43, 44, 49, 50, 51, 54, 55, 56, 57, 58, 60, 64, 68, 77, 78, 82, 90}"
ビ,"{0, 1, 19, 27, 28, 29, 33, 49, 59, 84, 85, 86, 92}"
ワ,"{0, 1, 2, 3, 9, 12, 14, 16, 17, 19, 21, 26, 31, 38, 40, 47, 54, 56, 67, 70, 73, 75, 77, 81, 83, 84, 85}"
イ,"{0, 1, 2, 3, 4, 6, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 26, 27, 29, 31, 33, 36, 38, 39, 40, 42, 44, 45, 46, 47, 48, 49, 50, 51, 52, 56, 57, 58, 59, 60, 62, 64, 67, 68, 70, 71, 72, 73, 74, 76, 77, 82, 83, 84, 86, 87, 90, 91, 92}"
サ,"{0, 12, 14, 19, 21, 42, 46, 47, 49, 50, 54, 59, 68, 86, 87, 92}"
レ,"{0, 2, 12, 16, 18, 21, 25, 28, 30, 31, 37, 40, 42, 44, 49, 50, 51, 56, 57, 60, 62, 66, 70, 73, 77, 81, 82, 83, 84, 86, 89, 90}"
ス,"{0, 1, 2, 3, 4, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 26, 27, 29, 30, 33, 38, 39, 40, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 54, 55, 56, 57, 58, 59, 60, 62, 64, 66, 68, 73, 74, 75, 76, 77, 78, 79, 82, 83, 84, 86, 87, 90}"
プ,"{0, 1, 6, 8, 12, 19, 21, 25, 27, 39, 42, 43, 46, 49, 51, 56, 57, 58, 59, 60, 64, 66, 78, 82, 84, 90, 92}"
ー,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 30, 31, 32, 33, 36, 38, 39, 40, 41, 42, 44, 47, 48, 49, 50, 51, 52, 54, 56, 57, 58, 59, 60, 62, 64, 66, 67, 68, 69, 70, 71, 73, 74, 75, 76, 77, 78, 79, 81, 82, 83, 84, 85, 86, 87, 90, 91, 92}"
ズ,"{0, 5, 12, 17, 19, 22, 29, 30, 42, 44, 47, 52, 54, 57, 65, 67, 68, 74, 82, 90}"
ミ,"{0, 1, 2, 3, 5, 10, 12, 13, 19, 21, 26, 32, 33, 34, 35, 37, 40, 44, 45, 49, 50, 53, 56, 57, 62, 67, 68, 73, 77, 80, 81, 82, 84, 85, 86, 90}"
タ,"{0, 1, 2, 3, 8, 15, 16, 17, 19, 25, 33, 34, 38, 40, 42, 44, 46, 49, 50, 51, 54, 57, 62, 67, 68, 69, 77, 78, 81, 82, 83, 84, 86, 90, 92}"
ル,"{1, 3, 6, 12, 13, 16, 17, 19, 21, 29, 30, 33, 38, 39, 42, 44, 47, 48, 49, 50, 51, 53, 54, 57, 58, 59, 60, 62, 64, 66, 67, 73, 74, 76, 77, 78, 79, 81, 82, 83, 84, 86, 90, 92}"
ロ,"{1, 2, 3, 5, 8, 10, 11, 12, 14, 16, 18, 19, 21, 26, 30, 31, 32, 38, 39, 40, 42, 44, 48, 50, 51, 54, 57, 58, 64, 66, 68, 69, 70, 73, 75, 76, 78, 81, 84, 86, 87, 90, 92}"
ボ,"{1, 10, 11, 16, 17, 32, 47, 50, 51, 77, 78, 81, 84, 92}"
