Character,File Numbers
:,"{0, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 37, 39, 40, 41, 43, 44, 45, 46, 47, 50, 52, 53, 54, 55, 56, 57, 58, 59, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 76, 78, 79, 80, 81, 82, 83, 84, 87, 88, 90, 92}"
-,"{0, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22, 23, 24, 28, 31, 32, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 50, 51, 52, 55, 56, 57, 58, 59, 60, 62, 64, 65, 66, 69, 77, 78, 79, 81, 82, 83, 84, 85, 86, 87, 90, 92}"
【,{0}
】,{0}
、,"{0, 2, 3, 4, 5, 6, 9, 11, 12, 13, 19, 20, 21, 22, 23, 28, 29, 31, 33, 36, 41, 42, 43, 44, 45, 47, 48, 55, 57, 69, 70, 76, 77, 79, 82, 87, 88, 90, 92}"
？,"{0, 4, 5, 6, 8, 9, 11, 12, 13, 16, 19, 21, 22, 23, 25, 26, 27, 28, 29, 32, 35, 36, 37, 38, 39, 42, 44, 46, 49, 50, 51, 53, 57, 58, 61, 64, 67, 68, 76, 77, 83, 85, 86, 87, 90, 91}"
！,"{0, 2, 4, 6, 9, 12, 13, 19, 21, 29, 33, 36, 38, 39, 42, 46, 49, 50, 51, 57, 58, 62, 64, 67, 71, 73, 76, 77, 78, 79, 86, 88, 90}"
/,"{1, 4, 5, 7, 12, 21, 25, 27, 29, 30, 46, 47, 49, 61, 62, 67, 68, 71, 72, 73, 75, 77, 88}"
：,"{1, 4, 5, 18, 23, 26, 28, 29, 35, 36, 38, 42, 48, 49, 51, 54, 61, 70, 74, 75, 77, 85, 86}"
.,"{1, 2, 4, 5, 7, 10, 11, 14, 18, 19, 20, 21, 23, 24, 31, 32, 39, 44, 45, 46, 52, 54, 58, 60, 64, 66, 67, 69, 77, 78, 81, 85, 87, 90}"
(,"{2, 8, 9, 10, 13, 15, 16, 18, 19, 21, 22, 24, 25, 27, 30, 34, 36, 39, 40, 42, 43, 44, 45, 46, 51, 52, 56, 57, 59, 60, 61, 62, 64, 65, 67, 68, 70, 71, 72, 74, 75, 76, 77, 78, 79, 80, 84, 85, 86, 87, 90, 91, 92}"
),"{2, 8, 9, 10, 13, 15, 16, 18, 19, 21, 22, 24, 25, 27, 30, 34, 36, 39, 40, 42, 43, 44, 45, 46, 51, 52, 56, 57, 59, 60, 61, 62, 64, 65, 67, 68, 70, 71, 72, 74, 75, 76, 77, 78, 79, 80, 84, 85, 86, 87, 90, 91, 92}"
!,"{2, 12, 14, 19, 21, 39, 43, 46, 50, 56, 57, 58, 59, 60, 64, 67, 81, 87, 90, 92}"
「,"{3, 4, 6, 7, 11, 12, 14, 17, 18, 19, 21, 26, 28, 32, 35, 38, 42, 45, 46, 47, 51, 54, 56, 57, 60, 62, 67, 73, 76, 77, 85, 86, 87, 90}"
（,"{3, 4, 17, 21, 22, 23, 25, 32, 33, 34, 36, 41, 42, 47, 49, 54, 62, 65, 67, 76, 77, 79, 81, 82, 83, 85, 86}"
）,"{3, 4, 17, 21, 22, 23, 25, 32, 33, 34, 36, 41, 42, 47, 49, 62, 65, 67, 76, 77, 79, 81, 82, 83, 86}"
&,"{4, 8, 9, 13, 15, 16, 18, 19, 21, 26, 27, 32, 35, 36, 39, 40, 41, 43, 44, 51, 60, 63, 65, 73, 75, 86, 87, 91}"
;,"{4, 8, 9, 13, 15, 16, 18, 19, 21, 26, 27, 32, 35, 36, 39, 40, 41, 43, 44, 51, 60, 63, 65, 73, 75, 86, 87, 91}"
」,"{4, 6, 7, 11, 12, 14, 17, 19, 21, 26, 28, 32, 35, 38, 42, 46, 47, 51, 56, 57, 60, 62, 67, 73, 76, 77, 87, 90}"
*,"{7, 15, 18, 28, 29}"
”,"{7, 11, 18, 28, 34, 78, 80, 84, 87}"
／,"{7, 8, 9, 17, 18, 26, 43, 44, 46, 48, 52, 54, 65, 70, 74, 76, 85, 91}"
…,"{8, 10, 11, 12, 21, 23, 32, 35, 42, 52, 54, 56, 57, 63, 65, 90}"
@,"{8, 10, 24}"
_,"{10, 67}"
?,"{11, 15, 18, 23, 24, 30, 39, 50, 56, 57, 58, 59, 60, 64, 65, 67, 69, 78, 87, 90, 92}"
’,"{11, 18, 23, 24, 30, 62, 69, 85, 87}"
“,"{11, 18, 28, 34, 78, 80, 84, 87}"
。,"{12, 14, 19, 21, 42, 46, 57, 73, 85, 87, 90}"
｢,{15}
｣,{15}
\,"{19, 21, 23, 44, 46, 50, 57, 60, 63, 66, 69, 71, 83, 85, 87, 90}"
',"{19, 21, 23, 44, 46, 50, 57, 60, 63, 66, 69, 71, 83, 85, 87, 90}"
『,"{21, 30, 51, 79}"
』,"{21, 51, 79}"
¿,{30}
〜,"{36, 42, 76, 77, 86}"
‼,{36}
；,{42}
－,{45}
＆,{92}
